Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.023922723708047156,-12.234431836277365,0.0,7,3,0,0,0,0,0,0,0,0
-0.017132576006598205,-38.43277065539994,0.004058596226161011,24,13,2,0,0,0,0,2,0,0
-0.012874069177788031,-23.548226976604777,0.005168686376785283,52,32,14,7,5,6,3,1,4,0
-0.008406131292603454,-4.263842085242155,0.005953137584287677,1,0,0,0,0,0,0,0,0,0
0.0019193859967241546,-13.068111264583774,0.006778864741593532,1,0,0,0,2,0,0,0,0,0
-0.0033989460479447228,-40.74866177293345,0.0076617918845824,23,18,12,6,3,3,8,2,16,1
0.005368805772587111,-9.30991307880544,0.008749213314038383,1,0,1,0,0,0,0,0,0,0
-0.012773644182101791,-42.73639513719155,0.010905271727538416,239,151,49,22,14,15,8,11,18,2
0.002013000788005307,-256.497016087949,0.012535588535466727,743,672,1485,1276,1587,1520,1510,1478,2387,298
-0.01291401702888557,-25.841255040200327,0.01481501844483718,94,59,26,10,12,7,4,1,5,0
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
-0.026633227829802743,-18.39774931514831,,34,15,6,0,0,0,0,1,0,0
-0.020839960063155485,-38.631598378089144,,114,59,26,4,1,3,2,0,3,0
-0.036017119254549784,-22.624864262655095,,17,6,1,0,0,1,0,0,0,0
-0.018186099472493326,-45.4513612892215,,509,283,137,49,23,17,11,5,5,0
-0.013691782063103735,-55.7521124620429,,16,9,5,2,1,1,2,0,8,0
-0.012750830375353775,-46.138783392287564,,476,302,310,110,77,26,13,9,13,1
-0.0110029671966056,-32.32369947334699,,237,157,169,77,56,29,15,7,9,0
-0.0027940595568445217,-51.329669330904615,,301,242,359,238,229,184,138,76,82,6
-2.8878250575752398e-05,-75.12722652812523,,344,296,427,419,512,363,386,254,300,26
-0.010883066986026759,-36.43638140109795,,322,213,239,122,82,39,10,10,9,0
-0.014157817934222187,-30.086233368964567,,119,73,38,12,16,8,5,8,8,0
-0.014818010103207898,-23.73888189254987,,125,75,67,30,19,5,3,1,1,0
-0.00906660580672432,-37.233870966070825,,98,68,17,2,7,6,2,2,6,1
-0.02050115152470449,-10.503238788933782,,10,5,3,0,0,0,0,0,0,0
-0.019861865894560828,-25.898280202054913,,114,61,24,3,4,2,1,2,1,0
-0.017167980072978636,-26.66484427874961,,128,73,74,30,15,9,1,1,2,0
-0.026395204761898605,-24.280324756983134,,50,22,7,0,1,0,1,1,0,0
-0.04824659626413621,-12.765342865389902,,52,14,5,0,0,0,0,0,0,0
-0.017816724013440546,-46.4869501898069,,278,156,76,19,21,15,10,4,17,1
-0.017451964682767378,-49.5429847662982,,63,35,10,1,1,3,2,1,0,0
0.004656928686891259,-31.199784436060703,,34,32,15,14,8,11,6,9,9,3
0.00042618746204778,-69.98886952397162,,279,243,434,407,427,426,302,179,195,18
-0.019795865796339233,-36.3603324929554,,265,142,50,19,25,22,14,7,12,0
0.00010252185944257565,-64.3921396061198,,1697,1467,1674,1431,1507,1351,966,713,781,92
-0.0009935776579392437,-55.89725833145353,,207,174,296,250,233,184,173,80,85,8
-0.012722363247733218,-28.41764009940921,,52,33,16,6,0,2,2,4,4,0
0.0006480355300847677,-268.3110702664653,,1104,967,2283,1893,2171,1961,1608,1068,1152,86
0.0008815079433712163,-272.4636845072352,,1112,979,2247,2045,2253,1986,1797,1191,1241,94
-0.013943953881607801,-33.30944798707555,,205,126,112,54,36,18,8,4,0,0
-0.02226741349320583,-64.58442654788323,,512,258,69,22,12,13,7,11,8,1
-0.014237543487428112,-34.98464401882987,,141,86,29,8,9,4,2,1,6,1
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
-0.007952417176386546,-39.59387236229039,,239,170,207,111,80,52,51,27,22,1
0.005037198181083972,-183.40234055754038,,3889,3786,5708,6269,7460,7336,6345,5843,7464,1138
-0.03261141507318184,-9.794104792776677,,8,3,0,0,0,0,0,0,0,0
0.0022002204289801866,-284.9810220587848,,947,861,1697,1502,1996,1989,1954,1841,2881,372
-0.016676257070839598,-29.155403593629003,,192,111,79,28,19,13,9,3,8,0
-0.006037758084085965,-46.61241273498629,,404,301,359,202,170,113,102,57,57,4
-2.362622003943514e-05,-113.96438360063765,,440,379,840,652,800,619,492,330,335,24
-0.00016100887561946997,-125.55046026753637,,584,501,1013,815,825,666,652,456,425,30
-0.015382199883403327,-25.212898034697922,,71,42,20,1,2,2,3,0,1,0
0.0007942426111277722,-142.37152268149111,,589,517,1103,940,1045,947,863,597,648,55
-0.010892269706445286,-27.825692615384376,,166,110,80,49,39,24,16,9,12,1
-0.010202300284613065,-41.69782955975709,,332,224,268,139,124,59,30,10,12,0
0.0008163118807378578,-286.0910278547694,,1282,1127,2501,2265,2435,2227,1935,1305,1404,105
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
-0.008406131292603454,-4.263842085242155,,1,0,0,0,0,0,0,0,0,0
