Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2
-0.6568347554768205,3.121190420775773,0.0,20,0,0
0.009639455866677308,-58.835658259433515,0.01927986475848459,105,63,1
-0.008010943365344535,-105.63690561013641,0.001930375487664513,236,93,1
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.04325457054726284,-1.7963207287594516,,3,0,0
0.00536445474332306,-21.498785584876245,,49,26,1
0.011625126479597379,-2.4226063440818297,,1,0,1
0.07508310653141737,-7322.835727625423,,1414,4137,8
0.07301952925348866,-5204.454761411922,,1109,3088,8
0.03184099455128581,-305.4356763210027,,252,261,3
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.016821582681744787,-17.30191145636708,,62,19,0
0.022446250399365632,-65.13182548864259,,89,73,2
-0.07626339548899427,-3.8373187817906937,,28,2,0
0.0017173672708792071,-15.468247580396504,,416,209,208
0.00654803450442287,-60.50874495487383,,114,64,1
0.04244108557499122,-1876.7435596869173,,883,1180,4
0.04740006226148744,-819.2343802390367,,408,614,4
0.050742054283213565,-1149.9772499706858,,502,819,4
0.07175939298778783,-1464.2139162210783,,403,1088,8
0.05190476126427945,-1877.9301498030036,,731,1226,5
0.031162436506102537,-93.09312442504199,,100,101,3
0.041453554704722125,-318.377864916223,,216,281,3
0.0009676740030522919,-341.2594903769812,,505,249,1
-0.03162461444880288,-5.7873421613724485,,16,3,0
-0.023155038610789738,-21.69121762568426,,86,23,0
0.019171078826706666,-134.93297772679836,,169,129,2
0.002099163952003771,-22.32003726706512,,54,27,1
0.00397551967205824,-19.001411790078194,,45,23,1
0.022918332681343627,-629.0456538422152,,535,447,2
-0.036430989596651246,-13.918281940147473,,74,14,0
-0.015059118660031637,-5.408189383908325,,29,9,9
0.057712546827342254,-1702.2971915129717,,601,1159,5
0.07879981791160466,-12252.870487097769,,2021,6465,9
0.004341479332914309,-17.965018569902814,,2174,1164,1901
0.06019484471624191,-1110.4525082461105,,405,829,6
0.01406526335577487,-74.12116118267657,,116,78,2
0.06911597774850946,-8153.7003928213535,,1747,4429,7
0.06787848542184978,-8198.954789416919,,1800,4430,7
0.0474185757179664,-679.2868343093867,,351,528,4
-0.02586290657125808,-13.921769862157976,,295,76,31
0.017027336531169734,-68.60866221935848,,103,74,2
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.05002730740417102,-521.0217146159459,,270,433,4
0.0018797825254313078,-23.406053260989363,,4166,2103,3409
-0.06249731828137919,-2.623934247924372,,17,1,0
0.07810491287519832,-8300.290187673083,,1477,4647,9
0.04273284816783617,-622.8082706805202,,359,483,4
0.05014124089336007,-1774.777738492772,,723,1162,4
0.059007164486544264,-2315.416476388881,,753,1498,5
0.060598576860035905,-3103.149667185207,,928,1918,6
0.006758699363693149,-42.966600080806785,,86,48,1
0.06819757914994491,-3767.3017055685477,,935,2319,7
0.056626896464294696,-758.3393858963085,,320,601,5
0.06648656459961948,-4014.7213859886756,,1020,2428,7
0.06504304980963013,-9997.360239674073,,2255,5185,6
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.006217785182583756,-75.51102261711117,,137,76,1
0.026414271972430493,-174.58198407859203,,180,163,2
-0.015082578259183216,-18.55391275259305,,465,156,290
-0.0025314840349119094,-52.26879217462425,,1146,520,1423
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.05591381246115673,-114.1815758822087,,73,134,5
-0.005269253036559477,-2.354076271227319,,1,0,1
0.06218024884105404,-1288.4268310112693,,439,942,6
0.07425847861025892,-8485.867408446811,,1627,4667,8
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.014183719094151271,-16.98328327248122,,181,62,155
0.005675947638543657,-42.102607185797524,,3123,1727,2182
-0.9999999,-8.927681232563332,,48,0,0
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.013125669194396696,-23.7466440839522,,1428,944,1567
-0.07092450048025432,-1.4158283509833787,,10,0,0
-0.0013004180731219697,-21.721351954354684,,661,309,711
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.04339562050039442,-322.2429230500889,,210,287,4
0.0021117211070681386,-27.450019884727258,,712,361,954
-0.0015113399304925437,-10.217421206705684,,434,202,314
0.0023772862086611406,-131.1873534431607,,229,117,1
-0.016499087889975225,-8.525007479148343,,194,63,81
0.07690946338143348,-3900.5317959266217,,808,2470,9
-0.022284524740177232,-7.318779074233321,,101,28,33
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.071889034170997,-1786.505961587701,,472,1279,8
-0.011310305130334744,-11.47817428919425,,17,6,17
0.06987332096007422,-6143.795078279214,,1357,3504,7
0.00043380038040343686,-15.164140074443829,,1293,630,824
0.05862338200686813,-6214.700271480897,,1722,3394,5
0.00045622351487251914,-45.61175747472022,,102,49,1
0.031007648703383787,-329.50137409874657,,272,276,3
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.06912065445366809,-3251.812273248982,,813,2061,7
0.05717345395912969,-132.26100308031437,,80,152,5
0.06248221964090862,-648.4173021330663,,252,544,6
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.06327581892361796,-3208.5079499255185,,904,1992,6
0.0018165561562450139,-59.360303929254314,,123,62,1
-0.026846597185576918,-11.034466320635543,,227,57,25
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.019725370819463815,-7.541613276292281,,111,33,40
-0.020299126663955995,-7.5537188720044615,,130,38,43
0.07069786751465852,-7944.199088283916,,1655,4359,7
-0.04415767251847929,-4.941423145299221,,55,9,5
0.012761678946582363,-37.59192335394557,,3601,2361,4135
0.006427605316326788,-38.870859298062186,,3260,1836,2467
-0.01987878605283231,-13.227784502888952,,265,79,38
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.014140090465955862,-4.552100018079467,,9,3,1
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.002282608433286042,-35.163850116443996,,785,400,317
-0.007438058462844663,-21.972960301159684,,964,389,307
-0.004903790951452177,-11.326434650182193,,324,139,131
0.021689466423437137,-181.02857297212432,,203,164,2
-0.022167699499586028,-9.077629756027806,,580,164,129
0.08153337416958938,-10864.606989662621,,1727,5899,10
0.013931071183785747,-31.16222982067338,,943,635,839
0.044015826808225994,-150.45304848203756,,114,158,4
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.04050682412636797,-209.14263726955903,,158,201,3
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.0009149562390697013,-18.492544967834352,,2779,1371,2167
-0.030179128074871463,-2.4790965770082405,,1,0,0
0.03464426587641222,-325.6014783424923,,251,278,3
0.06964592771076596,-10296.772220242578,,2104,5403,7
0.0688824851633531,-4737.744831949514,,1115,2811,7
-0.010298861251387495,-11.15041406615008,,17,6,1
-0.02703055518041625,-10.112888146712548,,91,22,41
-0.00321517436178197,-20.52920894674143,,3784,1690,2543
-0.029675791628745375,-9.082373678371376,,229,54,26
0.00789611522817522,-29.28610332578942,,3058,1784,2752
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.006806334769493593,-39.223484285433834,,681,279,752
0.013919225023592316,-43.40976834463014,,716,482,480
0.00200925257208847,-16.94044546958306,,2087,1057,1573
0.06610707940716326,-975.3231089924795,,325,766,7
-0.026141568151955952,-21.848002663641747,,237,61,135
-0.005269253036559477,-2.354076271227319,,1,0,1
-0.021366946585882767,-7.710409981827785,,210,60,54
-0.011618432189865831,-8.963617569197906,,281,102,135
0.0467525595880229,-407.8423204035695,,237,351,4
-0.008350616004460684,-13.119406072241578,,903,356,349
-0.0021748075007528836,-12.305466475919825,,372,170,330
0.0082450591686986,-29.47969474307169,,2273,1337,1928
0.003527998076175467,-31.933488595216037,,2899,1523,1932
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.018939016298225093,-66.59432210935518,,1341,410,892
-1.7140787904473126e-05,-9.143694652482631,,46,22,8
-0.02499631423761101,-10.112822885209313,,338,89,50
0.002365672544878835,-48.29852907732388,,103,52,1
-0.009012303965438546,-11.44542131687248,,238,92,68
-0.005695986916619608,-25.425911895264736,,1267,533,1029
0.09555181157017996,-16144.695885829233,,1812,8665,14
-0.009918678340846252,-9.156394311409928,,342,130,169
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.01201494723285813,-91.86450422362752,,1942,702,1710
0.0006074285402128295,-43.093721116069645,,2826,1384,1439
-0.017080350381677312,-5.1240303554532325,,24,7,4
0.0006677174764295312,-14.35546652345184,,1369,671,939
-0.030179128074871463,-2.4790965770082405,,1,0,0
-0.010261907501316381,-114.54644919676193,,1556,587,1756
0.0007993874191209848,-10.647192514709445,,320,157,192
-0.017952041725347326,-10.12065596071416,,154,48,26
-0.009501703534318548,-15.09879419458882,,406,156,109
-0.0009356965287731127,-13.825724337566498,,449,211,214
