Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
0.017921248970832186,-70.00326240576808,0.0,14,26,70,22,6,24,4,1
-0.002881122939616329,-31.839573126126627,0.012089827880297365,115,131,80,44,43,39,6,0
-0.002947860264877235,-48.84080527553631,0.015431083577346644,267,304,153,116,55,50,13,0
-0.02115801358186315,-3.4108783072439346,0.015053275125292424,1,0,0,0,0,0,0,0
-0.027540770384804354,-14.738133056187955,0.0157606210423751,17,10,2,2,0,0,0,0
0.0074887077607757,-34.83965725012756,0.01871057036783764,15,22,32,14,0,2,0,0
-0.01725794653468014,-10.207513608338548,0.02236175427108327,2,1,0,0,0,0,0,0
0.030740815490793105,-1519.884295277003,0.022363065793854362,959,2458,1553,1237,1238,1711,466,3
0.02519930468562713,-308.0149040970331,,277,621,546,436,167,262,54,2
0.009294099204897554,-142.75227485297805,,414,634,396,264,304,294,84,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.019160525876572722,-121.41566306935636,,152,295,285,190,85,124,26,1
0.03589769195803863,-501.117438149761,,82,237,919,579,52,70,18,5
-0.011351231534287473,-32.821146479528736,,110,102,105,40,3,3,0,0
0.005473871728165779,-62.54165760438788,,501,700,698,619,387,304,82,174
0.006069983371972246,-97.5060898360809,,274,388,293,192,69,118,24,0
0.04387839091579228,-2190.108298060736,,708,2487,2478,2106,1375,1321,616,9
0.0845278366821442,-5898.7671306660195,,124,1155,7762,5619,820,1279,647,178
0.02782981008254333,-648.9329213761087,,283,676,1271,734,115,232,62,3
0.027867329459880193,-352.0964715155502,,95,227,683,491,52,77,24,3
0.037749458277777,-1582.9319888386158,,789,2393,1315,1005,1134,1489,523,6
0.03064009206465891,-674.0601398569261,,442,1130,938,772,554,885,243,3
0.013339115234740066,-94.7791152828878,,171,288,298,174,101,114,30,1
0.035190439847719586,-1019.282050965701,,535,1526,1243,1161,926,1035,396,5
0.004575336808274318,-28.74157283847854,,6,8,13,8,0,1,1,0
0.03239692088763695,-662.6106226545567,,201,536,1173,854,114,225,51,4
0.008464004520924554,-71.47952834021561,,163,244,194,128,63,123,26,0
0.03076212452789126,-228.0994211533927,,132,338,419,307,57,112,28,3
0.03433895548969578,-71.02970187321358,,7,19,94,51,5,3,3,4
0.029630595916449176,-1825.5245972212824,,1201,2998,2127,1601,1450,1740,517,3
0.03259647687661999,-253.6408516488895,,119,318,424,437,147,280,75,4
-0.00665258631161329,-169.05307873033854,,884,923,499,809,923,770,201,816
0.01671103376342611,-96.45083944012947,,87,159,231,126,25,34,6,1
0.041771204866398036,-1820.5531427745336,,742,2478,1552,1096,1330,1653,624,8
-0.006041086240943787,-52.55164144285394,,767,813,476,406,154,98,23,36
0.0468667677143106,-860.7450602923299,,7,26,767,199,6,5,5,11
0.07246269344791412,-1442.439903033117,,100,697,1619,1488,625,1222,432,74
0.01842448179453315,-542.9357064698956,,764,1457,783,623,712,724,227,1
0.08789485107206224,-5476.038844459334,,689,6963,3436,2142,2396,1804,576,227
0.019244304242737827,-188.77783966792663,,118,229,467,252,42,56,20,1
0.008981878767433355,-178.10900066821708,,1512,2299,1485,1576,1448,1387,391,317
0.029595719216521106,-318.2308596493054,,223,556,623,434,394,371,145,3
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.05022323009368148,-2091.0873037289844,,462,1890,1661,1679,1888,2349,904,15
-0.01244681442513243,-51.25816803511547,,1019,926,347,262,188,108,30,24
-0.00335911979740875,-16.989097244980123,,8,9,9,1,2,2,0,0
0.01350664233293505,-324.28393686342395,,600,1017,515,370,267,314,64,1
0.05302400367677392,-2628.9484482822354,,533,2332,2420,2178,1425,2391,813,18
0.03585187592047086,-755.1996033873392,,338,979,1105,883,264,582,170,5
