Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4
-0.011782761649030228,-43.89122071287183,0.0,75,69,0,0,2
0.031050709231659857,-282.92332578902113,0.01740258905523057,237,614,23,1,54
0.02529753056524454,-416.50399409056587,0.014511007297105475,440,993,47,1,62
-0.015942487322358277,-2.1055748457352386,0.00019213350332917135,1,0,0,0,0
-0.05643967008920284,-10.559142188413311,0.026708477939839853,96,30,0,0,0
0.014030069186326162,-39.57181684140677,,40,68,2,0,5
0.0040567531386090745,-3.13610548997388,,1,1,0,0,0
0.06898388535104216,-4493.851320084891,,956,6158,428,9,1827
0.0653298200614835,-825.2681132236343,,263,1551,174,8,414
0.05249072103741227,-1427.7873542317197,,552,2393,117,4,414
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.059318791802208504,-457.93905606148184,,172,878,60,6,209
0.06549165371065394,-230.48317781070332,,84,497,103,8,152
0.01577520626400064,-67.55638924961508,,146,262,22,0,9
-0.005374028874466961,-32.20559236629161,,566,612,62,255,129
0.0439995758337481,-636.1109642431213,,375,1326,87,2,164
0.07265519733315988,-4552.934736707185,,795,5592,417,11,2062
0.08959700006678872,-1366.2388232485246,,120,1267,211,25,1367
0.05251233818982258,-1007.9178036264262,,415,1800,140,4,313
0.05043689884526036,-335.27702823472396,,153,631,34,3,118
0.07336200143869326,-3091.1635935113527,,610,4364,343,11,1549
0.06195250249280175,-2384.582687854165,,601,3270,139,6,849
0.04658376913522474,-592.1702070730953,,302,1136,61,3,167
0.06768854134725677,-2621.230444808856,,569,3553,189,9,1110
0.005336550669765198,-13.554470958869743,,8,11,0,0,1
0.05926845507456899,-587.8652098064172,,243,1239,165,6,256
0.04055409003298664,-411.1140373358007,,264,859,41,2,101
0.047631694578217525,-361.78108348091814,,220,848,73,3,118
0.04867325786436271,-18.717990620996222,,1,3,4,3,4
0.0879935564887707,-7575.550141380601,,839,8528,1005,24,5218
0.014732732616283002,-556.8839198698156,,560,981,24,0,56
0.005853512071895001,-72.24729126671889,,441,624,109,839,585
0.04507517406056375,-143.50141901176187,,113,410,40,3,52
0.06273710384823789,-3129.1161686502155,,839,4652,242,7,1100
-0.006663173555435589,-32.29883873161918,,724,759,84,224,90
0.021814491219928074,-17.529124518816392,,24,49,7,1,3
0.0741087399037547,-723.028765817238,,149,1085,85,12,495
0.06064863490045169,-2897.139981073733,,862,4545,311,6,976
0.049195959076381315,-1648.0871658925976,,716,2868,154,3,422
0.0454553281829715,-341.0053274361623,,197,721,47,3,103
8.491085206570239e-05,-54.051098644577365,,1562,1925,156,710,462
0.04621762578240258,-1157.8216593299528,,529,1973,77,3,282
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.07826407230671965,-3590.5346728600493,,564,4539,327,15,2041
-0.005665622316619997,-24.356446465439646,,959,1029,93,241,107
-0.023851390308746254,-21.55620434393897,,42,29,0,0,0
0.05497990309838245,-1465.3918879728585,,601,2766,208,4,467
0.08145097138289654,-3634.7908708596115,,510,4431,415,17,2293
0.04628520368138598,-1373.0532118837205,,568,2122,84,3,326
0.08230592087146334,-4184.182070447705,,569,5046,367,18,2640
0.052927946579410905,-1325.1473721280097,,445,1949,73,4,389
0.07810658234697122,-1375.9639346392953,,232,1860,194,14,939
0.04969480198689634,-1349.4511253400542,,574,2327,111,3,361
0.09126244226895373,-5054.597469433816,,457,5024,468,28,4130
0.053168544085154056,-1805.0597604854636,,639,2816,133,4,513
0.05180610801175223,-1750.0354466200079,,729,3109,193,4,485
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.06769453954244768,-3062.7791661478004,,663,4140,235,9,1265
0.079989214924468,-6719.29084129934,,857,7189,465,16,3583
-0.014404775503325924,-18.71082476599429,,312,271,21,59,21
-0.03788257923452458,-79.88695843931227,,119,58,14,46,1
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.00529591178141212,-82.2284409785656,,129,180,3,0,7
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.047111531742961094,-139.90513317908065,,107,407,47,3,54
0.057641334954286,-77.35274103000532,,47,230,41,5,52
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.06599643028914173,-21.83273277489272,,28,7,1,2,0
-0.003030397358723344,-39.881620109651564,,1853,2119,189,562,327
-0.027709787959473778,-28.972343193300897,,130,82,10,33,3
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01469053196698694,-35.928686738478376,,401,346,42,109,22
-0.05494076853453243,-21.51118909566357,,260,85,1,0,0
-0.031228710369040822,-102.27190583186147,,258,149,29,95,6
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.08911479027552441,-7833.683843184543,,762,7957,760,25,5514
-0.006117632111187385,-19.941519705178283,,293,311,29,123,58
-0.0005007794942794401,-35.453673294429926,,375,455,65,271,143
0.05989725961055338,-2096.920546995495,,619,3206,257,6,725
-0.03488937749297759,-43.89628595481658,,297,158,15,47,2
0.04935948029298685,-377.3868700246659,,215,864,77,3,129
-0.024983051904016614,-31.547884076320358,,257,173,17,65,10
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.04847681346297906,-191.28217888489658,,135,531,72,3,72
-0.03922153546566375,-31.837553394586795,,5,2,0,4,0
0.0489864723702441,-356.5410849413234,,238,948,124,3,122
-0.006822986548126791,-22.732870095344268,,978,1021,93,147,58
0.03692649192307682,-856.6884116738746,,482,1438,53,2,163
0.07380543701288089,-2140.1211560302872,,364,2632,158,12,1139
0.05411777474877406,-473.798233104244,,246,1109,140,4,182
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.06028342669574384,-1538.4714133789664,,479,2504,156,6,570
0.053299611387991365,-1015.7180959347007,,382,1688,84,4,321
0.05243516125128129,-811.5128704443923,,354,1532,89,4,262
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.04469807751587427,-219.38536745743227,,172,618,70,3,71
0.02702582073787137,-332.4049755587499,,302,710,32,1,54
-0.005169667188916891,-33.96296222496113,,856,930,62,134,100
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01939352771313009,-38.51073356393542,,253,195,22,129,34
-0.9999999,-35.43781896768044,,69,0,0,0,0
0.05315145126184293,-1095.2809627653132,,480,2114,160,4,347
-0.011411870181436655,-21.282060494573866,,528,493,33,111,54
-0.010034812939388937,-63.14304081322355,,565,546,83,243,69
-0.011883750776976976,-36.975883727511096,,487,450,55,161,41
-0.03029076311698166,-99.73115194710604,,225,133,28,78,3
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.05625482933506254,-200.4289037200908,,87,412,27,5,98
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.019340785751951077,-20.695797417099747,,471,364,28,62,14
0.00498834623323017,-56.01145232473592,,683,947,74,138,173
-0.02298449724433377,-14.172850437311755,,63,44,4,11,3
-0.06696448977564963,-15.117854891006951,,163,40,0,0,0
-0.04127652214104605,-11.50605271650638,,362,165,7,6,0
0.04483028929317842,-579.154022963953,,406,1464,141,3,159
-0.007502157380684865,-20.378984446655423,,175,179,23,51,16
0.03799353839309368,-88.60619623662402,,81,248,14,2,27
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.01988849741989155,-220.98832668024323,,321,636,36,0,31
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.002127007146672845,-31.67564871232185,,1212,1416,127,400,217
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.051262176208545396,-89.74166412396966,,52,218,18,4,45
0.06776356457402566,-10480.500044701226,,1953,12217,847,9,3571
0.048778434824351534,-834.0724097702326,,404,1602,106,3,239
0.0034865931392692147,-48.850646469881006,,70,93,2,0,4
-0.01940122053538795,-38.62601062746284,,14,10,2,29,1
-0.02014897969104536,-45.432889742805955,,431,326,36,153,33
0.0004479844709627716,-42.428710073849835,,1102,1370,111,381,248
-0.004479546337997454,-29.184683524614446,,1122,1239,106,383,200
0.0040567531386090745,-3.13610548997388,,1,1,0,0,0
-0.032600682507922925,-35.914314463520235,,107,60,9,24,0
0.00792934294970403,-43.248394977285585,,622,925,87,411,353
0.003873976623272278,-36.04106019352206,,889,1200,129,474,293
-0.02925820153897294,-18.32619037962884,,128,78,2,0,0
-0.05192410471273511,-17.868471701230515,,95,33,2,4,0
-0.044486365650677914,-10.103799207688498,,1,0,0,0,0
-0.009173306041163886,-72.13404508918433,,450,444,71,403,157
-0.004195887212683814,-47.61469886828239,,457,508,69,394,194
0.06668313819345867,-2308.8182797641143,,590,3596,242,8,981
0.0002711314999336162,-35.43345255641299,,834,1032,90,224,168
-0.012979370337500289,-69.51950149722987,,436,392,61,268,80
-0.005376462233890732,-31.923236297374295,,665,719,83,290,126
0.0020045208662356198,-36.11247683358809,,831,1072,91,182,149
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.003934589480282162,-32.64039232028747,,255,285,44,169,71
-0.022647944538163798,-16.127303242482498,,181,129,9,28,6
0.001840943260318687,-34.27794265800216,,404,519,65,442,264
0.06390387327566516,-723.1502542309768,,246,1402,172,7,354
-0.009714602990333786,-18.759075416572085,,378,368,35,81,27
-0.012300398988139172,-82.34718908460525,,647,592,88,366,113
0.07145254404146353,-3265.6349030505544,,658,4497,357,10,1519
-0.03168544201402657,-31.450943845123263,,204,117,11,41,4
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.008006677943027184,-29.806379771441552,,474,481,58,182,62
-0.005946575134531366,-23.396176014651495,,389,414,43,179,81
0.0032415111082986945,-58.452016247494754,,455,605,59,452,351
0.013295258683597773,-98.54157685961562,,750,1269,160,1279,1229
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.005738108931566343,-32.61458229493937,,377,404,50,269,116
-0.9999999,-56.792144606583875,,25,0,0,0,0
-0.03025062941406595,-81.36906469140277,,287,170,26,102,9
-0.005347983806523072,-30.14424934404004,,559,604,41,106,80
-0.02333938400763754,-57.809761652855165,,223,156,25,106,18
-0.003989811787072993,-40.7094740661157,,389,434,59,270,131
0.035528461647401754,-788.3836464463308,,426,1229,26,1,142
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.01823240064433928,-18.722658407432313,,365,289,21,63,18
0.024962447242109557,-1278.826177063582,,976,2185,78,1,159
0.043121749745245526,-629.820333975608,,349,1208,63,2,157
-0.002970944417300973,-23.54718519691135,,253,289,35,134,67
0.043451508595522374,-930.4825306056441,,559,1951,126,2,221
0.005651976414465013,-54.04452764689595,,1092,1538,140,512,429
0.04216547073863972,-479.02691440523085,,598,2023,137,79,360
-0.0015056462182459,-32.241032837245264,,351,416,47,288,167
-0.024158445992560677,-59.33894266896631,,403,277,35,117,15
