Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.0023907722342455685,-210.60766311959713,0.0,53,43,29,55,59,19,0,31,27,60
0.0029756508005023843,-456.36076222604987,0.0007202894033749615,229,213,223,203,182,68,0,76,40,41
0.00031062343715791056,-1163.4651324435974,0.001122703040479121,722,632,617,490,445,165,0,164,68,66
0.013914774509288397,-8586.915125963451,0.001453228205685535,956,1160,1280,1365,1425,709,0,1404,939,1507
-0.02691252294132063,-19.943918044653937,0.001581880315330063,48,21,11,10,6,1,0,0,0,0
-0.007771486223040981,-113.99459638463304,0.0022455177517061967,139,100,45,22,17,7,0,15,12,11
0.011846117300124666,-8315.335045873613,0.0011134160809993135,1233,1424,1816,1586,1642,755,0,1287,788,1162
0.01545544328377262,-14235.322470196807,0.002483280971336001,1170,1474,1863,1981,2182,1101,0,2295,1646,2513
0.012889092827199135,-3802.779938398168,0.0026497124104329847,583,690,699,779,748,388,0,662,471,677
0.010101653328512188,-3736.094314451957,0.003759804036918077,824,913,886,917,930,419,0,602,311,392
0.012345407878243933,-4783.510439390099,,833,974,926,1031,959,436,0,800,582,689
0.010409896853179345,-1174.7736225728943,,281,313,344,310,333,142,0,219,123,131
0.014373107543852959,-6697.44549355713,,739,907,1061,1164,1233,643,0,1135,777,910
-0.005002294337766791,-389.104796147004,,442,340,203,178,150,69,0,52,36,24
-0.0012030074747013402,-50.49762299664945,,1354,1143,1242,1310,1467,622,1328,1042,793,695
0.005504481573072822,-1410.502582042369,,531,526,501,421,392,174,0,224,95,78
0.01585962671866798,-23561.55746222311,,1648,2096,2635,3080,3310,1729,0,3640,2546,4461
0.017493167762346086,-60036.06965230282,,1626,2151,3093,4086,5282,3095,0,8857,7260,14027
0.014116599442351576,-10247.451492152612,,1230,1500,1532,1759,1908,854,0,1649,998,1447
0.009879617127755216,-4535.059437651133,,969,1068,1056,946,1123,454,0,713,474,633
0.01621516168480418,-13874.586911282368,,1085,1392,1704,1880,2084,1037,0,2289,1533,2384
0.014286195822636625,-8140.182288768217,,786,963,1081,1270,1156,643,0,1352,978,1477
