Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.007724310983342326,-61.565310863242075,0.0,53,51,32,54,43,50,89,30,66,9
-0.007316987940142662,-46.41079326575258,0.0012695326009729776,264,256,242,127,170,107,88,90,57,12
-0.008861002636828,-54.513268797956705,0.0016335082260204952,692,648,479,293,348,198,179,134,108,24
-0.003912813099800259,-138.29756003322512,0.0020185657921731747,936,987,992,690,920,756,716,710,500,195
-0.03717628956277222,-29.65451888014472,0.0022376243065153237,71,33,6,4,0,1,0,1,0,0
-0.016412047054220703,-33.64995638825336,0.0026699632312863456,136,106,51,26,30,19,20,21,16,3
-0.0064958064018661565,-113.7767825273297,0.0031722365101494662,1514,1500,1153,733,888,687,642,634,407,149
-0.004016966327231794,-162.12042361710118,0.0039040611993486087,1334,1403,1274,896,1329,1121,1000,1027,730,248
-0.005386881872203604,-83.74855708220213,0.004979923087997769,693,705,618,401,530,392,341,338,255,87
-0.007025275172744611,-71.67047731296259,0.007692667993879907,875,856,661,381,516,379,322,305,224,60
-0.005095262581994532,-96.95221900141905,,982,1006,923,580,723,590,529,549,336,112
-0.0036111796895139845,-73.60419781273637,,327,347,398,275,358,301,297,258,169,63
-0.0035620403173616598,-135.9789383580098,,867,922,1016,723,1021,757,740,699,476,172
-0.017538637081361042,-36.951027201406845,,409,311,174,71,63,40,32,16,6,2
0.001364354477414926,-59.619428916310625,,1301,1557,1514,1208,1582,1391,1604,1628,1086,383
-0.007651921477017596,-54.31188892698848,,654,630,497,314,378,253,212,173,102,30
-0.00500972594707173,-243.20927123850913,,1964,2017,1702,1095,1557,1230,1142,1266,976,391
-0.001795072999887091,-1549.9361836355265,,1789,1985,2934,2730,4785,5191,6075,7169,6117,2805
-0.005007196825140968,-157.22113438709852,,1388,1425,1285,789,1272,969,856,770,581,205
-0.003973114063414803,-113.2400918345285,,937,986,929,728,871,726,654,551,458,152
-0.004446080528474611,-160.41377695038057,,1112,1157,992,681,1009,791,735,859,649,236
-0.004503018135508871,-128.1992758057892,,957,995,778,576,819,783,704,750,489,181
-0.006240939838040999,-57.270045531682214,,399,397,321,188,267,205,200,182,128,37
-0.0029980931499608717,-278.3902974389814,,1102,1187,1164,952,1333,1325,1312,1407,1106,485
0.002181715501675227,-58.366204949146635,,16,19,33,45,34,61,77,26,42,22
-0.003907009268061881,-152.44701779509225,,1094,1153,1139,780,1160,848,797,861,643,210
-0.010821226760159114,-39.458484110627516,,394,352,243,141,137,121,69,68,32,5
-0.004140104317874559,-98.08256849861786,,515,540,512,374,500,422,376,382,285,119
-0.0026474334086136436,-171.78526845106109,,32,34,303,232,277,304,286,203,247,104
-0.003631545673475955,-240.82745435940024,,1875,1990,1981,1392,1867,1607,1592,1473,1120,411
-0.0036544307545060112,-128.37384804142272,,976,1035,1122,770,1036,834,772,666,495,163
0.006148522047506636,-86.49927949443594,,2551,3425,3793,3794,5700,6433,7143,8519,6837,3064
-0.006524791126276902,-53.866366444773334,,388,384,304,188,221,198,155,161,111,35
-0.004481877495478945,-225.03646007785972,,1342,1396,1123,702,949,966,976,1056,953,363
-0.00778775006561894,-51.56560865138968,,1701,1634,993,636,687,629,541,456,264,66
-0.005131068898836218,-70.2035497379612,,526,538,596,357,364,295,254,204,144,47
-0.0015083108055748127,-355.2278299171546,,511,570,830,703,1095,1267,1388,1597,1521,600
-0.00589866231322388,-99.9456799770218,,1224,1230,964,648,856,611,580,588,389,119
-0.007461155315352162,-64.44489019655819,,976,945,713,455,509,347,343,310,186,50
-0.005217355826890632,-109.00204508330648,,935,955,983,549,720,510,461,419,342,109
0.0028209265804405898,-61.553332835363975,,2576,3193,3027,2432,3341,3171,3191,3631,2780,978
-0.0037540585919892985,-122.60943423332627,,846,895,925,626,755,681,670,558,474,162
-0.0034961325339484994,-143.2526667159684,,946,1007,1100,779,971,825,762,751,535,202
-0.004073506886943664,-95.07035562644015,,623,654,670,432,603,479,464,436,312,105
-0.002506256771202003,-285.4765822880333,,957,1043,1188,886,1435,1376,1367,1509,1190,482
-0.01109966108616128,-46.15192559526002,,1443,1280,748,428,424,349,246,244,124,26
-0.0041605064196520835,-36.92209028144581,,19,19,6,14,4,5,6,0,1,0
-0.007310453975221837,-73.86462602453263,,893,868,667,372,516,383,316,284,216,61
-0.0017920418122534813,-735.0790163731382,,1089,1208,1730,1503,2382,2599,2837,3359,2999,1317
-0.0043404059077972405,-134.8739124463059,,1231,1284,1193,799,1041,863,821,799,579,197
-0.0029687013281317616,-221.8006669302856,,1073,1157,1282,932,1404,1215,1237,1274,877,351
-0.0053000121248544235,-84.58677461548325,,834,850,690,508,678,512,488,388,285,89
-0.0032656903105928886,-181.0964630975162,,839,898,933,764,1114,876,913,936,614,266
-0.006449322125909967,-69.05508541435054,,821,814,643,415,506,408,335,316,201,63
-0.0016488152524780637,-770.6997549094153,,1204,1340,1782,1629,2468,2938,3328,3993,3339,1420
-0.005024210886259874,-105.1826308555429,,894,918,832,548,775,624,502,496,324,123
-0.00814415613653146,-67.54600955132415,,976,929,746,411,460,332,294,220,148,50
0.008257554137993143,-81.19911566331294,,50,70,31,51,48,37,67,20,57,11
-0.005290804989269154,-106.22109855072526,,1309,1335,1144,711,881,796,696,685,444,138
-0.006115656300352202,-90.86791146303754,,1373,1373,1143,789,883,705,587,453,305,105
-0.002487045487252967,-516.5365452672396,,1763,1924,2198,1744,2700,2482,2523,2807,2241,942
-0.0028099802843179265,-72.78279856138175,,617,668,371,327,244,333,301,337,224,48
0.004783919380949313,-90.96538506765627,,199,258,564,446,534,460,472,504,282,100
-0.003228468796269733,-186.53217673528746,,591,633,680,308,250,351,869,329,287,69
0.005520179912667055,-62.517188870525075,,1451,1919,1988,1899,2706,2635,3031,3657,3022,1248
-0.008630004069980424,-36.04498424940181,,110,103,78,68,62,52,40,25,15,6
-0.005255900432484884,-61.21404044240019,,744,759,774,419,434,346,353,222,123,40
-0.001785055536829424,-48.91705801644001,,1390,1542,1249,976,1139,997,877,768,594,185
-0.002524733027690873,-108.18097653376634,,940,1024,1232,778,953,762,822,695,489,168
-0.00014845976902874572,-67.62065608787526,,2615,3018,2190,1755,2306,2108,1865,2187,1539,482
-0.004801550520281488,-170.14897613965027,,1290,1331,1724,798,961,805,759,634,445,120
6.179206155128769e-05,-67.4518900827859,,4368,5067,3784,3072,3753,3591,3224,3629,2613,891
0.0027487777463510287,-56.04312296116558,,268,331,370,332,476,411,370,414,283,71
-0.007714406670815134,-37.393844886187274,,144,138,98,41,45,39,31,40,19,7
-0.006106842137623044,-47.97154482677607,,1104,1104,758,503,511,445,436,295,217,59
-0.006807014098578267,-1655.8221235984681,,251,246,599,395,893,1827,730,3456,2082,1300
0.0013354196102203534,-64.50615753275113,,1416,1693,1814,1440,1569,1610,1656,1537,1169,423
-0.011438210654261293,-36.78219541625419,,233,205,153,78,86,63,40,31,16,5
-0.00036960040474109295,-244.81042885993617,,1660,1906,2068,1618,2443,2418,2476,2600,2105,859
-0.0011943526276582887,-68.78339601423707,,953,1072,619,654,737,683,682,650,553,152
-0.004771656854738694,-84.80625305051343,,1808,1867,948,602,715,674,570,684,505,168
-0.002529679014299639,-58.58631266081637,,2813,3066,2443,1878,2302,1872,1597,1620,1046,312
-0.006856887291013103,-43.2258745384456,,564,554,370,272,253,230,177,150,92,14
-0.0030510799575706707,-48.29518043634521,,1306,1406,1053,825,910,738,696,657,415,137
-0.0029432080631427555,-53.54749534286299,,1077,1162,1043,676,731,665,692,552,368,112
0.011626327032164752,-333.40809542250673,,1128,1727,1828,2536,3054,4793,5401,7258,5792,2282
-0.00795383542633042,-57.820827435830296,,701,670,538,291,348,259,222,168,123,34
-5.4446450117227874e-05,-108.55378874096913,,42,48,69,16,15,5,30,0,6,0
-0.007908612320658284,-87.34812324345596,,1072,1027,736,403,511,400,338,368,247,86
-0.013180540021035542,-50.59424891055621,,1507,1272,818,349,365,246,220,143,77,19
-0.006544442854995645,-61.45149533322069,,709,701,573,369,449,354,321,260,138,43
-0.0017836916155298797,-485.189723591972,,1372,1522,2049,1834,2748,2536,2535,2661,2179,859
-0.002035891984228599,-49.32143026363643,,1585,1748,1462,1069,1268,1065,939,898,659,195
-0.007284318577367711,-58.0320800246396,,667,648,454,307,388,329,264,212,135,40
-0.004080857447020091,-110.52404257261935,,1133,1190,1122,599,802,674,860,585,445,164
0.0010063470934089016,-56.88482057433036,,1107,1313,1181,992,1408,1345,1280,1389,925,341
-0.0017907749492875745,-58.055472024107566,,1122,1245,994,765,729,870,687,752,493,134
-0.004900971178276269,-84.9099713579678,,760,782,758,480,534,474,453,383,252,88
-0.002157881766824386,-61.357761723425945,,1045,1149,1191,797,827,648,653,553,432,115
-0.003887468675408594,-53.1901435787967,,1119,1180,846,609,607,620,531,595,411,98
0.0022832392625032616,-84.24240498234091,,1123,1374,1494,991,1283,1166,1215,1393,1130,583
0.0018493979649536957,-87.12115347383386,,2973,3600,3497,3174,4350,4317,4322,4673,3181,1096
0.011096509121958134,-240.14323797998765,,1136,1717,2306,2287,3620,5262,8602,10540,11442,7696
-0.012225196514178832,-102.49888003556822,,426,368,315,99,69,70,218,54,47,11
-0.007497548362113993,-66.23790708479746,,755,730,640,318,413,295,287,210,139,35
-0.0002370797887844378,-57.36704577550162,,1695,1952,1594,1301,1685,1479,1399,1571,979,305
-0.0012382126406577034,-66.57583251338983,,1376,1547,1611,1050,1283,1222,961,918,635,166
-0.0015788648332268735,-56.64102894255967,,1157,1290,1306,854,976,889,778,656,425,145
0.0011508777512513253,-118.11248082780597,,1105,1315,1991,1490,1863,1708,1473,1536,961,331
-0.0042058214549934945,-105.13502766179028,,667,698,712,501,681,554,422,442,307,121
-0.9962200815729482,-516.8627758132621,,5882,0,0,0,0,0,0,0,0,0
0.0028867171059573436,-78.40457991452065,,900,1117,1144,1090,1337,1285,1244,1296,839,233
-0.006585834607291688,-48.50111896029479,,1301,1286,911,557,617,467,409,419,265,64
-0.0022065469511680477,-49.16305181205284,,1084,1190,951,761,940,797,704,654,453,140
0.002284129301190949,-65.0997194628893,,123,150,290,232,245,312,247,207,165,97
-0.0254706502830657,-46.04023457897624,,105,66,17,10,3,2,5,0,1,0
-0.01995779920321815,-29.071201586405653,,434,311,170,72,61,39,16,11,5,0
-0.006560611224326629,-47.199476103295105,,1304,1290,921,580,684,461,407,366,223,57
-0.010767628758667857,-41.85045490904005,,337,301,219,85,128,99,64,52,32,6
-0.0037424403598548413,-66.15064417892737,,120,127,197,102,152,143,170,108,94,34
0.0030333286911282424,-77.39488366265127,,1573,1959,2182,1895,2678,2452,2666,2937,2205,856
-0.01570219950318138,-42.120440283538606,,691,549,290,128,141,101,72,70,47,7
-0.007013105757361478,-75.09606491337811,,905,885,689,404,530,358,345,292,249,60
-0.0019944175517565004,-49.5926502618337,,2012,2221,1792,1296,1553,1360,1213,1214,785,230
-0.004998871740738497,-52.55969343292912,,816,838,695,457,545,447,317,354,157,51
-0.0012617656662777458,-112.3634641296716,,258,289,563,400,451,461,405,372,273,122
0.0005299608353864648,-79.81333243502544,,6554,7689,6778,5459,7137,6511,6207,6744,4682,1484
-0.008680391756451711,-59.200112548665665,,799,751,605,306,355,255,217,197,105,31
-0.011354351385500554,-37.25451972062112,,118,104,87,42,56,22,20,22,5,2
0.0033914891656960083,-767.9885592456526,,725,911,1628,1564,2829,3578,6191,6020,5927,3380
-0.0034687688625689712,-76.75123860807173,,1666,1775,1083,975,876,1035,996,830,557,157
0.00048601850662218383,-60.84331068425758,,1654,1938,1920,1490,1992,1767,1748,1707,1154,382
-0.0015433620973395582,-49.45032576460474,,1724,1924,1521,1116,1379,1226,1107,1090,781,221
-0.003350383095272832,-166.51966325383074,,1067,1140,1203,859,1136,984,1023,895,681,251
0.0002290051219554258,-47.38316164934503,,118,137,145,99,107,82,55,85,68,13
0.0055359430426100385,-58.30664998467296,,1303,1723,1677,1580,2333,2151,2401,2831,2370,1022
-0.00042054457726763876,-52.7190726836573,,1570,1800,1527,1154,1428,1316,1179,1278,908,325
-0.04221446316095793,-26.38462494376906,,321,135,38,10,8,5,1,0,0,0
-0.015356312704799781,-48.41308323770199,,589,471,318,112,158,80,77,43,15,4
-0.0032613250093136248,-167.3624892828749,,1099,1177,1309,687,1197,1080,915,773,719,238
0.0023364946628679347,-69.35782685565594,,2107,2581,2480,2241,3034,2788,2771,2586,2213,764
