Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.011520170616947184,-45.637609725272945,0.0,242,77,99,91,56,15,8,16,10,1
-0.013694491545360742,-52.912014945445,0.0015049028387064123,206,62,216,140,93,53,135,56,32,3
-0.013637276737571508,-63.028960519796314,-0.00037486025108494236,528,159,427,299,147,107,168,77,65,11
-0.020538169228191093,-5.395645591388974,0.0025160482174588533,1,0,1,0,0,0,0,0,0,0
-0.06237374606744156,-13.703675449140235,0.0026144887090381935,83,7,14,4,0,0,0,0,0,0
-0.009636603420591987,-136.39609226510694,0.0026203606742818083,156,51,49,4,13,5,0,11,0,0
-0.008758275511973343,-21.399572753676065,0.0028710305370906043,1,0,1,0,0,0,3,0,1,0
-0.005842594505663966,-276.6993227575321,0.0028523694263379445,929,339,1446,1297,859,761,2103,944,826,139
-0.00340055706288739,-161.43899697956567,0.003441120968061467,438,169,674,441,399,319,387,572,378,108
-0.010438551320094561,-94.68291265181,0.0043036414028946295,567,185,549,404,239,184,478,199,166,19
-0.020538169228191093,-5.395645591388974,,1,0,1,0,0,0,0,0,0,0
-0.012591956228160424,-50.13627675735266,,251,77,281,187,126,81,88,69,31,3
-0.01791424594741608,-377.73937617796645,,445,121,522,165,349,130,47,336,76,30
-0.03283326519201447,-55.13908243705325,,418,79,233,90,47,2,4,1,0,0
0.007298966109129613,-76.44317157812132,,876,438,742,1131,1011,766,1194,1586,1152,395
-0.024138331888527438,-70.53840114323928,,502,118,337,208,68,10,3,8,1,0
-0.005179498437251326,-255.16677592395638,,1113,412,1817,1081,956,877,1453,1083,787,153
-0.011797671604283803,-680.1404797441267,,522,165,850,403,1145,559,146,738,178,53
-0.00913682950766884,-270.2838962041133,,943,318,1138,594,618,373,238,566,281,73
-0.014875697159314973,-429.27495987379837,,542,159,536,186,422,205,64,481,122,42
