Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8
-0.008021753540399296,-66.60255384737222,0.0,93,63,36,99,34,5,23,27,37
-0.00511043530436152,-39.81044599662087,0.001252769703114559,207,162,125,186,46,89,59,53,57
-0.00504109242096112,-44.75883973250252,0.0014246886444721826,376,296,276,294,79,127,80,99,68
-0.006760272503162556,-3.880948186846521,0.001320669670168328,1,0,0,0,0,0,0,0,0
-0.6931165620623272,-7.16623792168895,0.0016109316865866043,56,0,0,0,0,0,0,0,0
-0.023294302998665417,-40.068642473100134,0.0025346141842427093,155,50,20,22,4,1,7,1,1
0.030213167306418043,-22.157029663809887,0.0019100162863814195,1,4,1,0,2,2,2,3,4
0.006236058780434145,-440.2910523617226,0.002262728275736516,656,890,1213,1896,772,3043,1176,1449,1764
0.0038233872083829022,-84.3940929282541,0.003127459910486029,330,398,493,788,287,643,598,691,1341
-0.0008296723133809267,-111.64165494407311,,370,357,326,457,134,471,166,224,209
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.004030405564916571,-39.1140845195388,,184,152,206,273,74,74,65,44,24
-0.00894007188430872,-170.93423825183228,,402,263,330,641,178,50,309,303,221
-0.015471859822668103,-46.468474513281315,,270,129,169,100,4,1,0,1,0
0.006058706475329034,-89.96436296048289,,848,1140,975,1665,913,1116,2056,2081,3166
-0.013131624447359653,-66.74346974793725,,325,174,256,195,11,7,3,4,2
0.002560497022880314,-102.49520786988401,,786,894,1310,1955,737,698,1124,1267,1275
-0.007674397750852682,-539.7267610800545,,381,265,711,1914,606,68,697,639,452
-0.006616672974794303,-183.00974748668767,,631,462,607,944,287,122,466,477,410
-0.009997285513497359,-233.5754446154268,,400,249,272,621,219,45,426,338,302
0.0041010118135881846,-106.10610162576678,,532,651,903,1102,392,980,600,617,775
0.003026292353955405,-79.29090465654696,,414,481,599,856,270,608,407,508,532
-0.004574585571408971,-47.886723771886665,,201,162,186,167,41,93,44,64,38
-0.0020344181098405512,-86.68688584068231,,472,430,706,1015,224,290,249,211,199
0.002727263297991301,-139.615419609609,,19,21,14,89,9,0,17,4,6
-0.007069768730655707,-147.94235935123314,,491,351,523,859,220,99,294,282,248
-0.004756037916283432,-43.280242612456405,,188,150,203,125,35,42,46,31,33
-0.006714317543507814,-49.72864922403319,,250,182,199,196,46,30,76,90,81
-0.010269081032676331,-389.524628289878,,38,23,18,451,38,4,77,26,20
0.0068403216545037835,-356.68730589178995,,629,878,1670,2253,872,2929,1422,1716,2135
-0.008861272961644105,-47.95537939428052,,526,345,218,327,100,81,128,140,102
0.004035889734518237,-176.62535082972082,,595,726,1379,1392,874,1483,893,610,455
0.00040985693865777315,-124.40681053170061,,214,219,199,252,85,25,110,100,104
0.009066855792751634,-223.34449811400228,,522,811,1025,1484,673,1764,853,1140,1351
-0.001351462105374669,-75.9936902410612,,1058,997,875,1194,620,611,940,814,813
0.0006290580134127811,-899.6050284784926,,290,300,149,511,168,6,285,201,197
-0.0037932418750802515,-115.25155397244548,,201,168,304,736,157,134,293,320,223
0.001276660398972467,-189.31253092993796,,541,578,769,1179,376,1279,525,581,656
0.0018366338320199953,-103.24378285756958,,473,519,633,883,338,850,407,441,466
-0.009179362867791,-94.19309589988724,,418,270,278,502,125,37,156,125,112
0.0027080031906525958,-59.951709357053055,,1584,1814,2094,2775,1199,1710,1728,1597,1511
0.001191061976651035,-56.87379343856597,,451,480,514,587,180,177,303,335,368
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
0.006124285753812543,-5.977377643922918,,1,1,1,0,0,0,0,0,0
0.0010679005846329773,-86.5319171212659,,414,438,719,1041,239,278,274,270,241
-0.0015308971624410752,-59.66308772915347,,893,834,848,1186,482,853,559,440,375
0.00048159871956231356,-34.004596934053495,,31,31,11,27,7,2,8,6,13
0.0046110109156672135,-117.04434326661747,,418,524,665,985,332,1028,618,642,763
0.0022687647016866,-114.56655065018685,,438,491,1014,1336,389,630,500,592,539
-0.0037913861586924315,-81.5801301207384,,649,544,658,928,221,183,311,325,268
0.0048548972209737735,-107.03205791730808,,409,519,931,1490,469,941,648,700,835
-0.0013799929603813717,-70.01332594738379,,380,357,443,844,261,296,466,422,435
-0.000617387847584631,-81.02587374256282,,312,304,550,840,254,331,350,411,360
0.0026231637493160684,-65.53741665855789,,376,428,453,747,225,460,319,361,416
0.003180636745179945,-113.97568527451732,,339,397,972,1389,428,546,520,558,478
0.0013984928931954628,-61.90488739314446,,505,543,599,884,327,673,472,476,463
0.0007656014821743643,-131.59649916026038,,476,496,505,970,313,991,485,478,550
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
0.006124285753812543,-5.977377643922918,,1,1,1,0,0,0,0,0,0
0.0010133897561175967,-70.99812824374314,,534,563,728,1033,253,291,359,324,358
0.0033410302468642383,-81.94261559468775,,717,846,1279,1933,721,1197,1188,1321,1485
-0.007500513754542399,-46.91489443306459,,573,402,270,311,148,104,157,91,87
-0.0020469112656954667,-998.6385707168469,,435,396,98,612,242,18,361,76,233
-0.004350789118718562,-6.427481227146359,,1,0,0,0,0,0,0,0,0
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.002151313396850693,-45.072840032993255,,93,84,37,70,22,18,41,29,51
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.011881800058905784,-271.50510052539283,,323,183,228,450,157,38,392,393,444
0.00024342865349219825,-2847.2358954084048,,376,382,316,1201,363,22,911,793,1196
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.0008097380107828546,-816.0427437176347,,181,175,42,148,51,1,183,84,138
0.006459328637264901,-109.91690935214734,,2256,3094,3291,4919,2630,3839,5840,6376,9207
-0.0076398611897000035,-155.7323130271164,,257,179,106,204,136,41,365,221,263
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.007576882410737533,-159.63279821576373,,814,569,418,652,248,60,378,386,379
-0.0315157503298788,-24.02249357080306,,188,41,17,13,0,3,0,0,0
-0.010853722493273519,-941.6081347324291,,537,320,304,728,547,58,1583,958,1257
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
0.008762119343915091,-198.59462889175362,,590,903,1537,2580,840,2115,1506,1980,2977
0.012450978068375196,-171.13957358356262,,409,747,498,585,397,1020,900,792,1064
