Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6
0.021194623652178664,-250.17634255119506,0.0,68,89,4,94,57,54,1
0.01749458836752889,-598.4123613161075,0.005813853796583971,175,192,3,230,96,88,103
0.013903358700448162,-1283.4773544882107,0.0011518420230528458,404,374,3,381,137,108,140
-0.0126666940637471,-4.79287830036875,0.0053823276133153665,1,0,1,0,0,0,0
-0.05213533648730748,-8.385631224958729,0.007712503742447208,52,2,0,0,0,0,0
0.0005998345514514262,-116.20247200866783,0.009034110112838816,100,48,2,36,4,2,0
0.019120330120818433,-9.537278497368677,0.008596780171202587,1,1,3,2,2,2,4
0.02160500163025034,-7584.214699988616,,692,927,4,2037,1334,1456,4124
0.02818461694518149,-2311.5560150124397,,302,555,4,937,697,972,1064
0.018193810893121828,-1754.9629486483666,,352,400,3,554,239,235,493
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.018096045324383147,-683.1467237665164,,176,199,3,262,106,73,70
0.02362138760747662,-2536.4206294416217,,335,494,4,862,414,492,73
-0.0014611604360425098,-349.0126800644863,,267,118,2,84,3,2,1
0.008183278385653223,-208.21942056447412,,718,505,1122,1136,521,596,199
0.010874780842695848,-1166.6410012353065,,343,274,3,317,18,10,0
0.025521505026284634,-8544.38322659829,,804,1300,4,2593,1778,1591,1039
0.029548222535715526,-8688.886909410721,,336,659,5,2913,1852,1174,121
0.021890429775062514,-4189.849695558912,,630,856,4,1266,684,671,247
0.02570474190857121,-3337.2678916455593,,341,556,4,1131,558,779,94
0.022942757578375116,-3821.3676790404315,,466,666,4,1228,795,687,1105
0.022807522542080814,-2543.7002741848855,,402,570,4,873,508,482,573
0.014975277721842841,-701.6779334650823,,225,219,3,242,76,62,92
0.025087828458041472,-4665.790307489765,,477,755,4,1534,570,406,256
0.016029923246797497,-98.42990393820799,,23,23,3,46,12,19,1
0.023479260296519255,-3457.285127536291,,453,664,4,1133,483,457,160
0.01100205290328106,-381.2083174593037,,188,151,3,130,40,60,33
0.01670023024082584,-768.2111033447034,,234,247,3,271,80,110,82
0.042143572841868704,-1616.9490429355371,,23,82,6,948,181,240,7
0.025241958283842913,-9822.019767186728,,664,1059,4,2879,2226,2384,4904
0.011687780825990451,-1442.626781102095,,543,452,3,388,119,171,98
-0.01905581234011332,-279.4130003201918,,505,96,1523,548,104,0,0
0.017897278230053944,-719.3702712766001,,199,223,3,267,141,121,43
0.023894842362477565,-6309.819509695994,,626,936,4,1915,1361,1312,2338
0.0022583113358483516,-66.83464178400436,,953,504,1263,1028,359,331,147
0.03367506495045835,-2995.6538568939914,,211,504,5,961,537,551,9
0.026883752075826058,-2223.9110902673674,,242,417,4,868,371,491,202
0.023134954166773393,-4373.369182710352,,508,732,4,1370,748,809,1505
0.021771238276862198,-3051.1035464873194,,462,624,4,975,528,603,1095
0.02004339497063175,-2154.5554079309222,,393,488,4,689,246,254,49
0.00255675225824503,-90.42319543513234,,1159,622,1980,1813,497,462,845
0.02239394026544796,-1728.554748227051,,292,406,4,629,405,395,287
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.00927974009137593,-4.585080138095226,,1,0,1,0,0,0,0
0.023014050402394633,-3188.582477793473,,409,586,4,1059,458,304,319
5.99473819675061e-05,-63.37122539592021,,968,461,894,1033,267,214,346
0.02201024935988141,-74.36120647047171,,19,25,4,36,11,27,17
0.022818548749274373,-3325.928944057541,,452,642,4,1085,680,734,1178
0.025822765842207572,-5311.4149969578975,,449,736,4,1761,919,671,841
0.019425552802205898,-3439.198325903504,,632,762,3,1007,421,376,198
0.025329772959735014,-4425.8123668841245,,454,727,4,1486,788,850,1050
0.024276637738179913,-2894.2655929380303,,391,595,4,1010,611,629,413
0.025581662471325674,-2403.1171728178997,,286,463,4,906,494,449,357
0.023288069848021977,-2489.3570131140673,,368,534,4,869,473,502,488
0.02655639585584271,-4658.187984467924,,345,586,4,1622,1024,665,631
0.02175708014024364,-3806.5243746859546,,522,704,4,1180,813,740,1071
0.022183351725583084,-3528.840795882686,,495,682,4,1118,680,733,1136
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.023103848568855768,-3593.8244955408754,,511,735,4,1164,523,565,398
0.025366945257974467,-6572.757004878591,,650,1043,4,2078,1375,1368,1560
-0.015760048787882872,-33.989404617812134,,493,109,349,170,27,0,0
-0.009521883431450256,-64.08625176155185,,344,103,283,407,60,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.010980743822026979,-150.5889389969982,,89,71,3,60,15,50,32
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.027070673208057134,-2390.06160425802,,243,423,4,860,434,743,104
0.027233907343218004,-4517.1392262566405,,285,500,4,1421,807,1342,47
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.01418761956656829,-23.806488983508267,,97,23,131,78,10,0,0
0.010403138475173487,-83.94288940163341,,2424,1897,4374,4702,2092,2258,3068
-0.011763790503646253,-31.29282425474511,,150,40,220,126,24,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-5.689949227254999e-05,-83.46642307910439,,743,352,637,667,176,181,49
-0.023522382444244053,-45.692555911598944,,194,29,1,5,0,1,0
-0.011563525880890699,-133.49459171700613,,516,140,897,499,140,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
0.026109991807385293,-8074.881095182429,,647,1076,4,2498,1528,2001,3822
-0.014937841461656009,-76.34484108468752,,431,99,563,237,54,0,0
-0.017717261547531286,-185.1280561073851,,392,79,950,336,84,0,0
0.02485753760799346,-4675.278701932209,,639,1001,4,1512,759,1090,893
-0.01653856598786247,-57.492751354955814,,482,103,447,178,27,0,0
0.026253036877313868,-2229.032233110557,,308,516,4,801,545,904,286
-0.018010415084332567,-74.98777233097796,,405,81,539,189,32,0,0
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
