,Initial_Fitness
0,3.044603747525199e-06
1,2.4373204170725325e-06
2,1.501389637198422e-06
3,3.1803494331557955e-06
4,3.1660604136157327e-06
5,2.837412964194289e-06
6,3.1803494331557955e-06
7,-6.914842871898538e-06
8,-4.7357673920389685e-06
9,1.3870774808779199e-06
10,3.1803494331557955e-06
11,2.7445343371838816e-06
12,2.551632573393034e-06
13,2.9874476693649484e-06
14,2.4140254631810057e-06
15,2.37301982914225e-06
16,-3.121108184011878e-06
17,2.725339567530253e-07
18,-3.990499616299242e-07
19,3.0825650560318165e-07
20,-2.0351426989671086e-06
21,2.4730429659226893e-06
22,1.6442798325990494e-06
23,-4.204834909400182e-07
24,3.0731817866053248e-06
25,2.5730661027031284e-06
26,1.9800717917905246e-06
27,2.8016904153441324e-06
28,2.8659910032744148e-06
29,-6.348187840409598e-07
30,2.658800219943505e-06
31,3.1086913397168575e-06
32,-1.1063564288630305e-06
33,-1.1251560302307585e-05
34,6.576537748348598e-06
35,2.9396748606311927e-07
36,2.3587308096021873e-06
37,-9.293964625318988e-06
38,-9.67262364313065e-06
39,6.797710136448136e-07
40,1.705755938861031e-06
41,2.4516094366125953e-06
42,3.1803494331557955e-06
43,3.1803494331557955e-06
44,1.258476305017355e-06
45,9.43635076517943e-06
46,3.0660372768352936e-06
47,-7.364946987410517e-06
48,6.226149354845624e-07
49,-1.9779866208068583e-06
50,-2.192321913907799e-06
51,-3.4426111236632904e-06
52,2.5730661027031284e-06
53,-3.492622692053509e-06
54,9.012508165157864e-07
55,-4.099906022506176e-06
56,-1.2923375588494928e-05
57,3.1803494331557955e-06
58,3.1803494331557955e-06
59,2.2086961044315285e-06
60,1.9014821843201792e-06
61,4.45517433922061e-06
62,1.170639768483738e-05
63,3.1803494331557955e-06
64,3.1803494331557955e-06
65,2.6659447297135364e-06
66,3.1803494331557955e-06
67,5.1054153882052096e-08
68,-8.436623452915223e-06
69,3.1803494331557955e-06
70,4.301616051836533e-06
71,1.914802948600842e-06
72,3.2939161043911127e-06
73,3.1803494331557955e-06
74,5.615321210816921e-06
75,3.116048845225513e-06
76,6.569476855132583e-06
77,3.1803494331557955e-06
78,1.6871468912192376e-06
79,8.114881036174846e-06
80,3.681645746146544e-06
81,1.5514012055886416e-06
82,3.1174378937896305e-06
83,-2.585269951259525e-06
84,3.0757423117318753e-06
85,3.1803494331557955e-06
86,-1.8471466852898262e-07
87,3.306765114563932e-06
88,-6.507605815006751e-06
89,2.9528639413263373e-06
90,-9.115351881068203e-06
91,2.4587539463826265e-06
92,1.2441872854772923e-06
93,3.1803494331557955e-06
94,-2.6209925001096813e-06
95,2.615933161323317e-06
96,1.3870774808779199e-06
97,3.1803494331557955e-06
98,-3.2711428891825377e-06
99,2.3087192412119677e-06
100,2.079242945616466e-06
101,3.1803494331557955e-06
102,3.1005883491230167e-06
103,3.029036753553391e-06
104,-8.636669726476101e-06
105,2.9550311307265266e-06
106,1.1097817452991257e-05
107,3.2630408748167182e-06
108,1.9682367995077e-06
109,3.1803494331557955e-06
