,Initial_Fitness
0,-1.1912127044086843e-06
1,-1.9648130837435225e-06
2,-4.403651492530891e-06
3,-1.0880092086513664e-06
4,-1.598596659278997e-06
5,-2.195210551221426e-06
6,-1.1186366447576343e-06
7,7.579268208141143e-06
8,-2.0801541523538985e-06
9,-1.3449898089768224e-06
10,-1.0880092086513664e-06
11,-2.6986293260343613e-06
12,-4.682314581678178e-06
13,-5.565044908325438e-06
14,-4.032750840770851e-06
15,-3.951799173321065e-06
16,-6.4895473971397335e-06
17,-4.63447479885384e-06
18,-9.736232085781877e-06
19,-4.449042119111595e-06
20,2.9207405866953496e-06
21,-2.831467411105656e-06
22,-3.4697452568500177e-06
23,-2.4526169903919264e-06
24,-1.23401300564356e-06
25,-6.886212464794325e-06
26,-2.8811164261368283e-06
27,-4.646221825137401e-06
28,-1.23401300564356e-06
29,9.407331834734434e-06
30,-1.2027008087902915e-05
31,9.613882326889723e-06
32,-3.699716885482874e-06
33,4.0796142616951665e-06
34,-5.234744779023943e-06
35,-2.4519770663551296e-06
36,-3.133730429646714e-06
37,4.370379631419964e-06
38,2.793652491801411e-06
39,-5.546164498502731e-06
40,-3.4621023666974444e-07
41,-5.676979266175441e-06
42,-1.0880092086513664e-06
43,-1.0880092086513664e-06
44,-2.5059220936507733e-06
45,5.8170378042292485e-06
46,-1.082543888216858e-06
47,1.063752879375973e-06
48,-1.483860222429869e-06
49,-9.064912939963166e-06
50,1.1488923507251285e-06
51,-5.690820194408686e-06
52,-4.2664844344580295e-06
53,-1.1360983689430048e-06
54,5.908203715671085e-07
55,-3.5757884554204653e-06
56,7.155382415140656e-06
57,-1.0880092086513664e-06
58,-1.0880092086513664e-06
59,-5.061414379859205e-06
60,-6.201692314779166e-06
61,-1.8280718645157083e-06
62,-2.946629686799831e-06
63,-1.0880092086513664e-06
64,-1.0880092086513664e-06
65,-1.643881409033054e-06
66,-1.0880092086513664e-06
67,-3.7093700098167506e-06
68,-3.1559822579542447e-06
69,-1.0880092086513664e-06
70,-1.9455774196268675e-06
71,-2.961715170831123e-06
72,-2.2304516300721085e-06
73,-1.0880092086513664e-06
74,-6.909706517361448e-06
75,-4.199408987517037e-06
76,-3.1513686152098293e-06
77,-1.0880092086513664e-06
78,1.3764148231143538e-06
79,2.301272566222596e-06
80,6.0009812137830576e-06
81,-7.799890189566252e-06
82,-3.3728940514928504e-06
83,-5.67286204682717e-06
84,-9.919038041576451e-07
85,-1.0880092086513664e-06
86,-4.559804837253106e-06
87,-1.0691287988286595e-06
88,-6.798943799219938e-06
89,-2.2343218034915336e-06
90,-5.9757296971294765e-06
91,-8.908865472067599e-06
92,-8.396184119490281e-06
93,-1.0880092086513664e-06
94,-2.0230164994896327e-06
95,-4.26900417525276e-06
96,-3.2129434494407643e-06
97,-1.0880092086513664e-06
98,-5.862091983899287e-06
99,-5.653555798159417e-06
100,-3.830425776328935e-06
101,-1.0880092086513664e-06
102,-1.3640466801772748e-06
103,-1.4857400391878023e-06
104,-5.465825682641722e-07
105,4.0570765384326207e-07
106,-8.348309044390395e-06
107,-7.573821695089915e-06
108,-5.361583496450579e-06
109,-1.0880092086513664e-06
110,-2.251000102999453e-06
111,-1.0880092086513664e-06
112,-6.7146207132853266e-06
113,-1.5510062539219593e-06
114,-1.1958263471530995e-06
115,-4.277024528757549e-06
116,-5.82056919919955e-06
117,-5.401758180064076e-06
118,-2.6747094346221924e-06
119,-1.4869822634473933e-06
120,-1.0880092086513664e-06
121,-5.410204372413911e-06
122,-1.0880092086513664e-06
123,-9.81116663929281e-07
124,-1.0880092086513664e-06
125,-2.0626218436174304e-06
126,-7.688207540722008e-06
127,-4.038216161205359e-06
128,-1.685865324853386e-06
129,-1.252893415466267e-06
130,-5.414392176313281e-06
131,-3.627120747999175e-07
132,-4.961171678184548e-07
133,-1.0880092086513664e-06
134,-1.8205479344070652e-06
135,-2.626337936126161e-06
136,2.069063534999405e-06
137,-4.27031698406345e-06
138,-1.4718991109545572e-06
139,-1.0880092086513664e-06
140,2.1867478830267645e-06
141,3.2822374915888122e-06
142,3.5668623245667525e-06
143,-1.8215431127378101e-06
144,-1.6346188312686748e-06
145,-6.096536086174361e-06
146,3.352896110667925e-06
147,-1.0880092086513664e-06
148,4.831673321310369e-06
149,-1.138759278839932e-06
150,8.01660671434383e-06
151,-5.699692225603567e-06
152,-3.817577694887982e-06
153,1.2164627206194686e-08
154,-1.198950719709079e-06
155,-3.082980359458148e-06
156,-1.0880092086513664e-06
157,7.537463085237013e-06
158,5.7807332940351775e-06
159,7.256776678691138e-06
160,8.788715491951778e-06
161,-1.0880092086513664e-06
162,7.25131135825663e-06
163,-1.6627971111313104e-06
164,-3.00745872016732e-06
165,-1.356381580966435e-06
166,-3.0494073437121028e-06
167,2.265215101957369e-06
168,2.401175228046188e-06
169,-1.0880092086513664e-06
170,-7.88307692806792e-06
171,-1.0544612412846803e-05
172,-3.827586073515806e-06
173,-1.0245545576624985e-06
174,1.5772506173678321e-06
175,7.351816320303017e-06
176,1.992654925742932e-06
177,3.854931492119072e-06
178,-2.146519090706995e-06
179,-7.72614249020671e-06
180,-1.7220309974837167e-06
181,5.066115092046989e-06
182,2.0678918952909097e-06
183,7.992011606619316e-06
184,-1.4267578618411526e-06
185,-4.344986945664184e-06
186,-1.8599415248815674e-06
187,-1.0610378607727727e-06
188,-3.922093999455988e-06
189,-2.154929990781281e-06
190,-8.388395397158592e-07
191,2.895854920938909e-07
192,-2.950109313649758e-06
193,-2.1832870635601193e-06
194,-3.037093309481298e-06
195,6.803241081933781e-07
196,-4.620172739499999e-06
197,3.469124149243943e-06
198,-1.2995694271313877e-05
199,-1.0880092086513664e-06
200,-8.196038755992054e-07
201,1.0083015245830263e-05
202,6.031288687870926e-06
203,-9.484789721980484e-06
204,9.23499072561137e-07
205,-3.2007352920366073e-06
206,-1.962328635224341e-06
207,-4.833396709286e-07
208,7.656210864607761e-06
209,4.327828707652388e-06
210,-2.300933787773474e-06
211,2.2048672775431256e-07
212,-1.0086903120306679e-06
213,-1.0880092086513664e-06
214,-1.0880092086513664e-06
215,2.8199097743414864e-07
216,-1.7049951121433936e-06
217,-3.318276139423316e-06
218,-4.499454480987559e-07
219,2.614072122312557e-07
220,-3.137527686976584e-06
221,-4.217828266219147e-06
222,-1.0880092086513664e-06
223,-2.757684419470565e-06
224,7.728110482734304e-07
225,4.488275733100618e-06
226,-1.0880092086513664e-06
227,-2.2748141175849746e-06
228,-1.0880092086513664e-06
229,9.19432317535235e-06
230,-6.182953074058657e-06
231,-2.8803353329978336e-06
232,-2.3265217422902807e-06
233,-2.0434238033147793e-06
234,-3.14466107051573e-06
235,-8.13267476738693e-06
236,-1.0880092086513664e-06
237,-2.2182787649435007e-06
238,-1.7420807154764597e-06
239,1.9619078515748597e-05
240,-2.5421560192937466e-06
241,-3.064563412294491e-06
242,-8.803247006015904e-07
243,2.41519261765718e-06
244,2.8412805209724534e-06
245,8.184827047368007e-06
246,-1.1492640808639021e-06
247,-3.877555050565377e-06
248,-4.148623625052923e-06
249,6.345429350431752e-07
250,-4.772102988047297e-06
251,-1.7986866526690312e-06
252,-3.8809617613257505e-06
253,-6.005079616700605e-06
254,-4.672626165068752e-06
255,-2.9943388518879617e-07
256,-4.928860964530761e-06
257,-2.7930666674234448e-06
258,-2.15010459438357e-06
259,-2.0420733706900863e-06
260,-2.386108551398179e-06
261,-1.0880092086513664e-06
262,-4.678801994091156e-06
263,-6.374490998272207e-06
264,-1.6480692129324224e-06
265,-4.964172627932543e-06
266,-2.4955937530045494e-06
267,1.589529359323088e-06
268,4.5897746482655885e-07
269,1.1567339113137175e-06
270,-2.450061957321648e-06
271,2.450257235130117e-06
272,-3.752739650537324e-06
273,-9.741165690544693e-06
274,-5.085510732649121e-06
275,-5.3069655843810436e-06
276,-2.4439920051258906e-06
277,-7.148734858394465e-07
278,1.2030844239496162e-06
279,-1.6865052488901836e-06
280,-1.0880092086513664e-06
281,-4.604913125629418e-06
282,-1.0233829179540064e-06
283,-2.2463511679794888e-06
284,-4.058444672114306e-06
285,-1.3258953139623636e-06
286,-5.163516820459131e-06
287,-1.0880092086513664e-06
288,8.358751526928001e-07
289,7.89771543433243e-06
290,-2.228997652159223e-06
291,-1.0880092086513664e-06
292,-1.0880092086513664e-06
293,-4.967969885262413e-06
294,-1.0409870364537372e-07
295,-4.560195383822603e-06
296,-1.6778802636241465e-06
297,2.5774159145751523e-06
298,-1.5016042848196334e-06
299,8.51668813773533e-07
300,-7.289338031214171e-06
301,-2.868162467869226e-06
302,1.2155419588210735e-06
303,-5.044343202243334e-06
304,-6.910061771655396e-06
305,-1.4601520846709963e-06
306,-8.372690066923161e-06
307,-2.130158421679019e-06
308,-7.520516591831071e-06
309,-5.871709815957614e-06
310,-3.1872849103728593e-06
311,-5.181439675765097e-06
312,-2.545101598933524e-06
313,-4.123426217105613e-06
314,-1.7001320919316775e-06
315,-1.0880092086513664e-06
316,-1.0880092086513664e-06
317,-3.723105061223348e-06
318,-1.0880092086513664e-06
319,-1.939580383520664e-06
320,-1.5836922997023634e-06
321,-1.0880092086513664e-06
322,-1.144189306998891e-06
323,-4.670852225137466e-06
324,-2.0243646005758714e-06
325,3.110786909182009e-06
326,8.933680598510145e-07
327,1.5565609753382902e-06
328,6.016098433339282e-07
329,1.6316567757840713e-06
330,-2.1670675636343393e-06
331,-2.3502290489534977e-08
