,Initial_Fitness
0,4.69817055661236e-06
1,3.5731356489871884e-06
2,1.1653506597707006e-06
3,5.402631666994476e-06
4,4.866400075509582e-06
5,4.361711518817916e-06
6,5.402631666994476e-06
7,-1.8627806803792924e-06
8,2.23781384274049e-06
9,1.7120965961866717e-06
10,5.402631666994476e-06
11,3.5626213040561123e-06
12,1.8908404600149696e-06
13,2.6058159153281625e-06
14,5.953967165623358e-06
15,1.8067257005663589e-06
16,-3.0403873126598457e-06
17,1.8803261150838935e-06
18,-1.210891294652558e-06
19,1.8277543904285115e-06
20,5.134612740439663e-07
21,1.1863793496328536e-06
22,3.04741840243337e-06
23,3.978034798021252e-07
24,5.171316078510796e-06
25,6.501477581479586e-07
26,3.4364491648831956e-06
27,2.9527892980536827e-06
28,5.171316078510796e-06
29,-1.568379022309154e-06
30,-2.961432856489143e-07
31,2.1242104594346877e-05
32,3.3207913706413554e-06
33,-1.168833914928253e-06
34,5.897083769125199e-06
35,3.194619231468439e-06
36,2.868674538605072e-06
37,7.185878693875846e-08
38,5.555186537682714e-07
39,1.2810084540125408e-06
40,9.58124295800804e-06
41,2.3429572920512535e-06
42,5.402631666994476e-06
43,5.402631666994476e-06
44,1.1127789351153185e-06
45,3.0644092936861826e-06
46,5.213373458235102e-06
47,6.606621030790347e-07
48,6.922051378722637e-07
49,-1.231919984514711e-06
50,6.396334132168825e-07
51,1.302037143874693e-06
52,2.4060433616377116e-06
53,1.5438670772894494e-06
54,1.7856970107042063e-06
55,-7.53420420963108e-08
56,2.085452710427525e-07
57,5.402631666994476e-06
58,5.402631666994476e-06
59,4.0315752145529395e-08
60,-1.4211781932740855e-06
61,4.687839463359691e-06
62,4.906123389054963e-06
63,5.402631666994476e-06
64,5.402631666994476e-06
65,4.477369313059756e-06
66,5.402631666994476e-06
67,2.8581601936739955e-06
68,2.416557706568788e-06
69,5.402631666994476e-06
70,6.002579661814336e-06
71,9.8728694935342e-06
72,6.3804677541529266e-06
73,5.402631666994476e-06
74,3.1901303336523005e-06
75,3.3733630952967375e-06
76,1.0383114321018867e-05
77,5.402631666994476e-06
78,-1.3896351584808564e-06
79,7.949445240767276e-06
80,1.4057385481582443e-05
81,-1.3055203990322453e-06
82,6.1735983632339765e-06
83,2.174727773154031e-06
84,8.440294574948666e-06
85,5.402631666994476e-06
86,1.9749552194635807e-06
87,6.17026946851808e-06
88,5.029469291128893e-07
89,1.8125050614785732e-08
90,1.2704941090814639e-06
91,-4.328297697529066e-07
92,2.2957396090490465e-07
93,5.402631666994476e-06
94,1.2494654192193117e-06
95,2.521701155879552e-06
96,2.3008999123269483e-06
97,5.402631666994476e-06
98,1.6069531468759076e-06
99,2.35347163698233e-06
100,-1.514276774060019e-06
101,5.402631666994476e-06
102,8.866619946073221e-06
103,9.288001303038145e-06
104,1.323065833736846e-06
105,6.153379241662041e-06
106,2.6896668443850797e-06
107,7.640111984043523e-07
108,3.254114584515656e-06
109,5.402631666994476e-06
110,4.69817055661236e-06
111,5.402631666994476e-06
112,-1.5274876713901375e-06
113,1.995627448810663e-06
114,5.720579332784098e-06
115,3.4154204750210426e-06
116,4.868622534103694e-07
117,1.354608868530075e-06
118,5.3949951175724985e-06
119,4.540455382646214e-06
120,5.402631666994476e-06
121,8.499203118384091e-07
122,5.402631666994476e-06
123,5.017384915604043e-06
124,5.402631666994476e-06
125,4.1724533100585415e-06
126,-1.1683178846004619e-05
127,1.1758650047017767e-06
128,4.918971800164963e-06
129,9.41740769823523e-06
130,7.592052151802406e-06
131,4.994018142426266e-06
132,3.0646811583512685e-06
133,5.402631666994476e-06
134,5.8884503825979005e-06
135,6.003123391144511e-06
136,4.733404972341602e-06
137,3.3102770257102793e-06
138,5.269272069038032e-06
139,5.402631666994476e-06
140,1.298618095754132e-05
141,1.414581593001053e-05
142,8.1837727704518e-07
143,2.4015564723899215e-06
144,1.3029317761652582e-05
145,5.472105669915989e-06
146,4.097870118414127e-06
147,5.402631666994476e-06
148,9.584561809882194e-06
149,6.257711114114239e-06
150,1.1318353316259536e-05
151,1.6069531468759076e-06
152,3.366715348706687e-06
153,2.150721268795273e-05
154,-6.641453582365862e-07
155,6.368966614958273e-06
156,5.402631666994476e-06
157,8.881000889345323e-06
158,8.372266499770923e-06
159,1.2506564915026194e-05
160,2.177411714411237e-05
161,5.402631666994476e-06
162,8.645820711088966e-06
163,6.1294707477224406e-06
164,7.476299718868838e-06
165,2.7455614380513134e-06
166,9.09515036917118e-06
167,1.1027455770310308e-05
168,2.069584323843268e-06
169,5.402631666994476e-06
170,1.9575252804140645e-06
171,-1.652493781757765e-06
172,1.596438801944831e-06
173,5.2145455127454345e-06
174,1.4702666627719152e-06
175,6.831154726992231e-06
176,7.658055523897988e-07
177,1.0035061513906393e-05
178,1.1474721218310336e-05
179,4.365940603379058e-06
180,8.182563217509796e-06
181,1.0204557726005674e-05
182,9.956345884960912e-06
183,4.083940274348821e-06
184,8.814633466316382e-07
185,2.9331985016619055e-06
186,1.6990621878392713e-05
187,3.04741840243337e-06
188,2.7845597791564613e-06
189,3.362848750365661e-06
190,3.456499094755164e-06
191,9.731224935292132e-06
192,-1.126776535203947e-06
193,1.0917502452531664e-06
194,6.686557820232824e-06
195,3.7638397854903314e-06
196,4.011058806566474e-06
197,5.799129787166312e-06
198,-7.115009131757844e-06
199,5.402631666994476e-06
200,3.2497163082545464e-06
201,-4.174222789943933e-06
202,1.6226582827681743e-05
203,-1.6426037448701512e-06
204,3.068447092295523e-06
205,3.4996298731613807e-06
206,8.171684377790255e-06
207,1.3225674816208803e-05
208,1.1531606623376841e-05
209,9.597055769045472e-06
210,4.414283243473298e-06
211,5.97481862951215e-06
212,5.076328505047689e-06
213,5.402631666994476e-06
214,5.402631666994476e-06
215,2.5898198526123237e-06
216,4.7215413469268305e-06
217,1.7281852890258884e-06
218,4.357766350331954e-06
219,5.309537103345239e-06
220,6.9708015938869566e-06
221,7.55097754920498e-06
222,5.402631666994476e-06
223,1.33929155322741e-05
224,7.664659746351315e-06
225,6.800328630365839e-06
226,5.402631666994476e-06
227,3.384868251628089e-06
228,5.402631666994476e-06
229,3.3981778047866313e-06
230,-4.328297697529066e-07
231,8.189478811628235e-06
232,7.753627898404532e-06
233,1.1041607167885307e-07
234,6.686825667761215e-06
235,1.4211124458191113e-06
236,5.402631666994476e-06
237,5.88503689203202e-06
238,6.110780141175909e-06
239,8.84712378837317e-06
240,9.234893883325981e-06
241,-2.8195860691072423e-06
242,5.371088632201247e-06
243,5.072560562535088e-06
244,1.1164502732066067e-05
245,9.215840790559333e-06
246,4.897943110302811e-06
247,2.4734431116352964e-06
248,2.8476458487429194e-06
249,5.6992888210986e-06
250,1.7759922340633466e-06
251,6.9841917257587835e-06
252,1.9959839093257333e-06
253,2.0570963903850353e-06
254,2.8752356807767905e-06
255,5.020077450866386e-06
256,1.159766111002743e-05
257,4.9755007447164e-06
258,5.185163335294466e-06
259,4.918971800164963e-06
260,6.227156882152936e-06
261,5.402631666994476e-06
262,-8.113461872716554e-07
263,1.1582120163655087e-05
264,1.1771458951127746e-05
265,3.5048417348494037e-06
266,4.976936629618427e-06
267,4.9874570002545495e-06
268,9.315683765195392e-06
269,4.3662164851808434e-06
270,2.764795773928019e-06
271,1.3062659167567954e-05
272,1.027474063282063e-05
273,-7.040398720502843e-07
274,3.395110731894078e-06
275,1.6007524823559577e-06
276,6.564334866682568e-06
277,2.868674538605072e-06
278,5.220750194402083e-06
279,2.7292955192387356e-06
280,5.402631666994476e-06
281,-1.0321474308242598e-06
282,5.059073783403185e-06
283,7.260891580114317e-06
284,2.4383053431661286e-06
285,5.950277793255693e-06
286,4.407546883896566e-06
287,5.402631666994476e-06
288,2.9501873843463676e-06
289,1.424808760951724e-05
290,2.877394529550702e-06
291,5.402631666994476e-06
292,5.402631666994476e-06
293,5.182823243410496e-06
294,7.323166072842209e-06
295,2.494741657594188e-06
296,8.534204732593165e-06
297,9.560029007899134e-06
298,5.587400977937712e-06
299,9.031703821932952e-06
300,4.172908426402037e-06
301,8.1358276625859e-06
302,4.27769340662938e-06
303,2.082797229741734e-06
304,-4.328297697529066e-07
305,4.256568069507152e-06
306,1.7700223624952343e-07
307,6.700483647161432e-06
308,-2.6825391073514804e-06
309,4.311121416963085e-06
310,1.4282092830476092e-06
311,7.429213729134916e-06
312,9.25753970120022e-06
313,7.176237108472228e-06
314,4.736723824215756e-06
315,5.402631666994476e-06
316,5.402631666994476e-06
317,8.499203118384091e-07
318,5.402631666994476e-06
319,6.476629390694716e-06
320,4.539023514880884e-06
321,5.402631666994476e-06
322,1.2334019707149498e-05
323,4.493280779925612e-06
324,5.013516308694668e-06
325,4.678495164370599e-06
326,6.5416910573766786e-06
327,9.500716906530323e-06
328,6.149873120972783e-06
329,1.1705048003962087e-05
330,6.290154338752714e-06
331,5.263703746834936e-06
332,9.971211408734784e-07
333,5.402631666994476e-06
334,7.6152336647334235e-06
335,8.984974292714102e-06
336,1.3084853886235394e-05
337,6.841491845949945e-06
338,2.9212462632604536e-06
339,5.381602977132323e-06
340,5.402631666994476e-06
341,8.941390406532741e-06
342,8.160181230027252e-06
343,5.3862771351952175e-06
344,5.114434690580986e-06
345,5.308095192738167e-06
346,7.167434530244964e-06
347,5.630263908815537e-06
348,6.406798927258132e-06
349,4.722888618842176e-06
350,1.415507161601294e-05
351,5.402631666994476e-06
352,1.333580178667922e-06
353,6.996053342605206e-06
354,5.318067816907416e-06
355,4.40296535595705e-06
356,5.402631666994476e-06
357,1.6558097851316547e-05
358,5.402631666994476e-06
359,2.2588425326026428e-06
360,5.402631666994476e-06
361,4.220443506774406e-06
362,1.3991602859596945e-05
363,6.468716959470954e-06
364,6.5292877197684295e-06
365,5.402631666994476e-06
366,6.0793277279377085e-06
367,5.402631666994476e-06
368,1.658272127485464e-05
369,1.0713014225209942e-05
370,9.331409971814492e-06
371,1.898213179045254e-06
372,5.402631666994476e-06
373,9.108000788849529e-06
374,1.1187686253565435e-05
375,1.1275127899161595e-05
376,6.81047848050845e-06
377,3.909594686781632e-06
378,2.5662798705978858e-06
379,9.474746211076885e-06
380,1.8213805170718974e-06
381,1.1022645901842425e-06
382,7.78876365830535e-06
383,3.5205639243318063e-06
384,4.466854968128679e-06
385,4.690266159661992e-06
386,5.9375159865640245e-06
387,4.605341831923165e-06
388,3.680530577195241e-06
389,5.4803685359497755e-06
390,8.76039908094385e-06
391,5.424379303591816e-06
392,1.0037039119570246e-05
393,5.752396240810764e-06
394,4.2046286871686256e-06
395,6.670473144530303e-06
396,5.108050774382628e-06
397,5.894830281659561e-06
398,1.1127789351153185e-06
399,6.053272436634289e-06
400,-7.53420420963108e-08
401,3.4520021626656325e-06
402,1.65804718045257e-05
403,3.8728913487104914e-07
404,1.183840961048688e-05
405,8.02043771587245e-06
406,5.523841617945953e-08
407,1.0178839917755892e-06
408,5.514785349115407e-06
409,7.071899210314984e-06
410,1.157707749366703e-05
411,5.402631666994476e-06
412,4.225025034713923e-06
413,5.934916081425058e-06
414,9.43286806589429e-06
415,1.0812359003220895e-06
416,4.09121634611903e-06
417,1.6490105266002136e-06
418,3.7720160471057876e-06
419,5.694344806938968e-06
420,-1.1162621902728709e-06
421,4.992572214682498e-06
422,2.3955290167066355e-06
423,5.402631666994476e-06
424,2.562236046283499e-06
425,4.1858514762037645e-06
426,5.3775591528179366e-06
427,1.4421257125437398e-05
428,3.015875367640141e-06
429,5.635393183221925e-06
430,6.542951724873693e-06
431,4.0778242056788535e-06
432,7.011509693127567e-06
433,1.2494654192193117e-06
434,3.5180566493162177e-06
435,1.466222838457528e-06
436,6.9333337763755624e-06
437,6.641987139787884e-06
438,5.1343879731928785e-06
439,5.402631666994476e-06
440,2.4691294312241697e-06
441,5.402631666994476e-06
442,5.4118027571469045e-06
443,1.3125514888057699e-06
444,3.6993077881601047e-06
445,2.1221560484986496e-06
446,2.7740454342253843e-06
447,5.402631666994476e-06
448,5.402631666994476e-06
449,-3.2768632044214335e-07
450,9.971211408734784e-07
451,4.1733575170404845e-06
452,4.1724533100585415e-06
453,1.838268735359588e-06
454,4.323518728866288e-06
455,2.647873295052468e-06
456,6.888301953882082e-06
457,3.2577053010548973e-06
458,8.204846549163919e-06
459,4.97298141829072e-06
460,1.7794097417659235e-06
461,5.402631666994476e-06
462,5.7609309715096385e-06
463,1.2525344134559407e-05
464,5.402631666994476e-06
465,4.503752044575081e-07
466,1.1369307912902833e-05
467,1.0161503509176047e-05
468,7.108205016157788e-06
469,4.764313656249626e-06
470,1.1500063588583612e-05
471,5.402631666994476e-06
472,9.291511440864099e-06
473,7.65019621579758e-06
474,3.8947706785761265e-06
475,8.775315719272733e-06
476,6.1820484980828684e-06
477,6.890370181100965e-06
478,6.137739639461273e-06
479,4.128962054000559e-06
480,1.416064395535273e-05
481,7.697821917724979e-06
482,3.1368356451250337e-06
483,6.917871400148154e-06
484,5.402631666994476e-06
485,3.3418200605035084e-06
486,8.368488514416577e-06
487,5.8909656918868835e-06
488,6.780554582295656e-06
489,4.190976733473455e-06
490,1.5122354295095396e-06
491,1.0680752243681526e-05
492,6.218171052247265e-06
493,1.1035547436075782e-05
494,8.535823869173599e-06
495,6.861700924680137e-06
496,8.619576142402092e-06
497,1.7972952889072345e-05
498,1.0207250261268017e-05
499,5.297488217683713e-06
500,2.2272994978094137e-06
501,1.265808143304074e-05
502,5.402631666994476e-06
503,5.402631666994476e-06
504,5.402631666994476e-06
505,7.358126615338017e-06
506,6.757910772989767e-06
507,5.340177939724874e-06
508,5.402631666994476e-06
509,4.7981041528034485e-06
510,3.026933441901393e-06
511,7.2701512832534245e-06
512,5.402631666994476e-06
513,4.266456097826419e-06
514,6.700751494689822e-06
515,4.854987549301608e-06
516,7.387877304714148e-06
517,5.680680801833705e-06
518,5.402631666994476e-06
519,5.350059942339094e-06
520,5.402631666994476e-06
521,9.227613794419074e-06
522,5.402631666994476e-06
