row_number,reads_t0,reads_t1,reads_t2,freq_t0,freq_t1,freq_t2,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_count
1,20.0,0.0,0.0,3.4295805091452336e-06,0.0,0.0,1.1431935030484113e-06,1.9800692301624943e-06,1.7318993109669152,0,1,1,2
2,105.0,0.0,22.0,1.8005297673012478e-05,0.0,4.326383980737366e-06,7.4438938845832815e-06,9.398767848706561e-06,1.2625974704481784,0,1,0,1
3,236.0,0.0,31.0,4.046905000791376e-05,0.0,6.09626833649356e-06,1.5521772781469105e-05,2.1818939082078362e-05,1.40568985387685,0,1,0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
5,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
6,49.0,0.0,10.0,8.402472247405823e-06,0.0,1.9665381730624386e-06,3.456336806822754e-06,4.394884519981366e-06,1.2715072676306955,0,1,0,1
7,0.0,0.0,2.0,0.0,0.0,3.9330763461248774e-07,1.3110254487082925e-07,2.2707626871785477e-07,1.7307306724988798,1,1,0,2
8,1414.0,0.0,1422.0,0.00024247134199656802,0.0,0.0002796417282094788,0.00017403769006868225,0.00015186259439419657,0.872584019449256,0,1,0,1
9,1109.0,0.0,1061.0,0.0001901702392321032,0.0,0.00020864970016192476,0.00013293997979800932,0.00011549957268572706,0.8688092624979497,0,1,0,1
10,252.0,0.0,89.0,4.321271441522994e-05,0.0,1.7502189740255706e-05,2.023830138516188e-05,2.1735901223163e-05,1.0739929903307004,0,1,0,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
12,62.0,0.0,7.0,1.0631699578350225e-05,0.0,1.3765767211437072e-06,4.002758766497977e-06,5.781944576228566e-06,1.4444538050207243,0,1,0,1
13,89.0,0.0,26.0,1.526163326569629e-05,0.0,5.1129992499623405e-06,6.7915441718862094e-06,7.768043336345338e-06,1.1437647703189313,0,1,0,1
14,28.0,0.0,1.0,4.801412712803327e-06,0.0,1.9665381730624387e-07,1.6660221767031902e-06,2.7171075689720132e-06,1.6307973130448583,0,1,0,1
15,416.0,138.0,320.0,7.133527459022086e-05,5.317761284154574e-05,6.292922153799804e-05,6.248070298992155e-05,9.087136331694456e-06,0.14543885316519148,0,0,0,0
16,114.0,0.0,22.0,1.9548608902127832e-05,0.0,4.326383980737366e-06,7.958330960955065e-06,1.0267926112532279e-05,1.2901947837341117,0,1,0,1
17,883.0,0.0,402.0,0.00015141597947876205,0.0,7.905483455711004e-05,7.682360467862403e-05,7.57326448795776e-05,0.9857978757518835,0,1,0,1
18,408.0,0.0,210.0,6.996344238656276e-05,0.0,4.129730163431121e-05,3.708691467362466e-05,3.51712430319645e-05,0.9483438702597271,0,1,0,1
19,502.0,0.0,280.0,8.608247077954536e-05,0.0,5.506306884574829e-05,4.704851320843121e-05,4.359727939247538e-05,0.9266432402445957,0,1,0,1
20,403.0,0.0,376.0,6.910604725927646e-05,0.0,7.39418353071477e-05,4.768262752214139e-05,4.1365093219675456e-05,0.8675068598051076,0,1,0,1
21,731.0,0.0,419.0,0.0001253511676092583,0.0,8.239794945131618e-05,6.924970568685815e-05,6.370153876334777e-05,0.9198803972302944,0,1,0,1
22,100.0,0.0,36.0,1.7147902545726168e-05,0.0,7.07953742302478e-06,8.075813322916983e-06,8.617253894423676e-06,1.067031498464766,0,1,0,1
23,216.0,0.0,97.0,3.7039469498768526e-05,0.0,1.9075420278705656e-05,1.870496325915806e-05,1.852251343608772e-05,0.9902406198502984,0,1,0,1
24,505.0,0.0,83.0,8.659690785591715e-05,0.0,1.632226683641824e-05,3.4306391564111796e-05,4.601442892416987e-05,1.3412746925222108,0,1,0,1
25,16.0,0.0,3.0,2.743664407316187e-06,0.0,5.899614519187316e-07,1.111208619744973e-06,1.4441944302858183e-06,1.2995439832161448,0,1,0,1
26,86.0,0.0,8.0,1.4747196189324504e-05,0.0,1.573230538449951e-06,5.440142242591484e-06,8.098438334477018e-06,1.4886172294083893,0,1,0,1
27,169.0,0.0,44.0,2.8979955302277223e-05,0.0,8.652767961474731e-06,1.2544241087917319e-05,1.487673097998566e-05,1.185931638475208,0,1,0,1
28,54.0,0.0,10.0,9.259867374692131e-06,0.0,1.9665381730624386e-06,3.742135182584857e-06,4.878610919553911e-06,1.303662298472682,0,1,0,1
29,45.0,0.0,9.0,7.716556145576776e-06,0.0,1.769884355756195e-06,3.162146833777657e-06,4.042289672047208e-06,1.2782966936259816,0,1,0,1
30,535.0,0.0,151.0,9.1741278619635e-05,0.0,2.9694726413242824e-05,4.047866834429261e-05,4.681170370079009e-05,1.156450791749211,0,1,0,1
31,74.0,0.0,5.0,1.2689447883837365e-05,0.0,9.832690865312193e-07,4.557572323456195e-06,7.059550596268534e-06,1.5489377241835374,0,1,0,1
32,29.0,9.0,12.0,4.972891738260589e-06,3.4681051853182006e-06,2.3598458076749265e-06,3.6002809104179054e-06,1.3115277639328862e-06,0.36427472441538244,0,0,0,0
33,601.0,0.0,397.0,0.00010305889429981427,0.0,7.807156547057881e-05,6.037681992346436e-05,5.375976133278419e-05,0.8904025147511949,0,1,0,1
34,2021.0,0.0,2224.0,0.00034655911044912584,0.0,0.0004373580896890864,0.0002613057333794041,0.0002308064738703528,0.8832809849110118,0,1,0,1
35,2174.0,1180.0,2268.0,0.0003727954013440869,0.0004547071242972752,0.00044601085765056113,0.00042450446109730777,4.4991959379641495e-05,0.10598698695566698,0,0,0,0
36,405.0,0.0,285.0,6.944900531019099e-05,0.0,5.60463379322795e-05,4.1831781080823494e-05,3.6841977478227065e-05,0.8807152948021768,0,1,0,1
37,116.0,0.0,27.0,1.9891566953042354e-05,0.0,5.309653067268584e-06,8.40040667343698e-06,1.0299668798188313e-05,1.2260770925587885,0,1,0,1
38,1747.0,0.0,1521.0,0.00029957385747383616,0.0,0.0002991104561227969,0.00019956143786554437,0.00017282543012365304,0.8660257481083107,0,1,0,1
39,1800.0,0.0,1521.0,0.000308662245823071,0.0,0.0002991104561227969,0.00020259090064862263,0.00017551385683425293,0.8663457718868136,0,1,0,1
40,351.0,0.0,181.0,6.018913793549885e-05,0.0,3.559434093243014e-05,3.192782628930966e-05,3.0261618902097574e-05,0.9478103472141248,0,1,0,1
41,295.0,40.0,82.0,5.05863125098922e-05,1.541380082363645e-05,1.6125613019111997e-05,2.737524211754688e-05,2.010452712000991e-05,0.7344027714314274,0,0,0,0
42,103.0,0.0,26.0,1.7662339622097953e-05,0.0,5.1129992499623405e-06,7.591779624020098e-06,9.088334519519693e-06,1.1971125689038762,0,1,0,1
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
45,270.0,0.0,149.0,4.629933687346066e-05,0.0,2.9301418778630337e-05,2.5200251884030333e-05,2.3420542823631794e-05,0.9293736425352688,0,1,0,1
46,4166.0,2245.0,3962.0,0.0007143816200549522,0.0008650995712265956,0.0007791424241673382,0.0007862078718162954,7.560698125308658e-05,0.09616664287748132,0,0,0,0
47,17.0,0.0,1.0,2.9151434327734485e-06,0.0,1.9665381730624387e-07,1.037265750026564e-06,1.6292595325743487e-06,1.5705738622396468,0,1,0,1
48,1477.0,0.0,1598.0,0.0002532745206003755,0.0,0.00031425280005537774,0.00018917577355191773,0.00016664390962632848,0.8808940934034828,0,1,0,1
49,359.0,0.0,165.0,6.156097013915694e-05,0.0,3.244787985553024e-05,3.1336283331562394e-05,3.0795535329697e-05,0.9827405735964224,0,1,0,1
50,723.0,0.0,397.0,0.00012397933540560018,0.0,7.807156547057881e-05,6.735030029205966e-05,6.268116182055556e-05,0.9306724466186346,0,1,0,1
51,753.0,0.0,513.0,0.00012912370616931804,0.0,0.00010088340827810311,7.666903814914039e-05,6.788213803558265e-05,0.8853906496709948,0,1,0,1
52,928.0,0.0,657.0,0.00015913253562433883,0.0,0.00012920155797020223,9.61113645315137e-05,8.456956692519618e-05,0.879911333548215,0,1,0,1
53,86.0,0.0,17.0,1.4747196189324504e-05,0.0,3.343114894206146e-06,6.030103694510217e-06,7.732068317812926e-06,1.2822234056292416,0,1,0,1
54,935.0,0.0,796.0,0.00016033288880253966,0.0,0.00015653643857577014,0.00010562310912610327,9.149198951099285e-05,0.866211037024645,0,1,0,1
55,320.0,0.0,207.0,5.487328814632374e-05,0.0,4.0707340182392484e-05,3.1860209442905405e-05,2.8486369191923196e-05,0.8941020878335031,0,1,0,1
56,1020.0,0.0,833.0,0.00017490860596640692,0.0,0.00016381262981610115,0.00011290707859416935,9.793766624330238e-05,0.8674175323725608,0,1,0,1
57,2255.0,0.0,1780.0,0.0003866852024061251,0.0,0.0003500437948051141,0.0002455763324037464,0.0002134629931988268,0.8692324060147488,0,1,0,1
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
60,137.0,0.0,26.0,2.349262648764485e-05,0.0,5.1129992499623405e-06,9.535208579202396e-06,1.2354870551151536e-05,1.2956969822768953,0,1,0,1
61,180.0,0.0,56.0,3.08662245823071e-05,0.0,1.1012613769149658e-05,1.395961278381892e-05,1.5642715793163955e-05,1.1205614352822395,0,1,0,1
62,465.0,287.0,261.0,7.973774683762668e-05,0.0001105940209095915,5.132664631692965e-05,8.055280468804928e-05,2.9642092744126152e-05,0.367982915810655,0,0,0,0
63,1146.0,1042.0,1381.0,0.00019651496317402189,0.00040152951145572946,0.0002715789216999228,0.0002898744654432247,0.0001037245701000272,0.3578257027877904,0,0,0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
66,73.0,0.0,50.0,1.2517968858380102e-05,0.0,9.832690865312194e-06,7.450219907897432e-06,6.590296805306808e-06,0.8845656141987958,0,1,0,1
67,1.0,0.0,1.0,1.714790254572617e-07,0.0,1.9665381730624387e-07,1.2271094758783519e-07,1.070136674896633e-07,0.8713691213328227,0,1,0,1
68,439.0,0.0,324.0,7.527929217573788e-05,0.0,6.371583680722301e-05,4.6331709660986965e-05,4.053885623815012e-05,0.8749681166087774,0,1,0,1
69,1627.0,0.0,1604.0,0.00027899637441896474,0.0,0.00031543272295921516,0.0001981430324593933,0.00017256128725148578,0.8708920925475419,0,1,0,1
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
71,181.0,151.0,137.0,3.1037703607764365e-05,5.818709810922759e-05,2.6941572970955412e-05,3.872212489598245e-05,1.6981120640073024e-05,0.43853680117009153,0,0,0,0
72,3123.0,1312.0,2983.0,0.0005355289965030283,0.0005055726670152755,0.0005866183370245255,0.0005425733335142764,4.097947254123814e-05,0.07552797466660312,0,0,0,0
73,48.0,29.0,26.0,8.23099322194856e-06,1.1175005597136424e-05,5.1129992499623405e-06,8.172999356349109e-06,3.0314192558321747e-06,0.3709020438467174,0,0,0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
75,1428.0,788.0,2035.0,0.00024487204835296967,0.000303651876225638,0.0004001905182182063,0.000316238147598938,7.842045294839457e-05,0.24797902702727323,0,0,0,0
76,10.0,0.0,0.0,1.7147902545726168e-06,0.0,0.0,5.715967515242056e-07,9.900346150812471e-07,1.731747840864422,0,1,1,2
77,661.0,506.0,723.0,0.00011334763582724997,0.00019498458041900104,0.00014218070991241433,0.00015017097538622178,4.1400856722121085e-05,0.27569128486057054,0,0,0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
79,210.0,0.0,99.0,3.6010595346024956e-05,0.0,1.9468727913318143e-05,1.8493107753114364e-05,1.8025110826747655e-05,0.9746881702398071,0,1,0,1
80,712.0,625.0,977.0,0.0001220930661255703,0.0002408406378693195,0.00019213077950820028,0.00018502149450103002,5.969215106480999e-05,0.32262261724524094,0,0,0,0
81,434.0,225.0,361.0,7.442189704845156e-05,8.670262963295501e-05,7.099202804755404e-05,7.737218490965354e-05,8.26038131031296e-06,0.10676150148542835,0,0,0,0
82,229.0,0.0,39.0,3.926869682971293e-05,0.0,7.66949887494351e-06,1.564606523488548e-05,2.0814102090815613e-05,1.3303005419121767,0,1,0,1
83,194.0,83.0,84.0,3.326693093870877e-05,3.198363670904563e-05,1.6518920653724484e-05,2.725649610049296e-05,9.321124174489663e-06,0.3419768242565359,0,0,0,0
84,808.0,0.0,850.0,0.00013855505256946745,0.0,0.0001671557447103073,0.00010190359909325825,8.940222328808944e-05,0.8773206869190494,0,1,0,1
85,101.0,39.0,35.0,1.731938157118343e-05,1.5028455803045536e-05,6.882883605718536e-06,1.3076906993315834e-05,5.485118915151821e-06,0.419447578330078,0,0,0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
87,472.0,0.0,441.0,8.093810001582752e-05,0.0,8.672433343205355e-05,5.588747781596035e-05,4.8486366710229575e-05,0.8675696568904236,0,1,0,1
88,17.0,16.0,12.0,2.9151434327734485e-06,6.165520329454579e-06,2.3598458076749265e-06,3.8135031899676513e-06,2.055742525570801e-06,0.5390551725409688,0,0,0,0
89,1357.0,0.0,1203.0,0.0002326970375455041,0.0,0.00023657454221941138,0.0001564238599216385,0.00013548090908025503,0.8661135362391092,0,1,0,1
90,1293.0,562.0,1041.0,0.00022172237991623935,0.00021656390157209207,0.00020471662381579988,0.00021433430176804377,8.719361880411192e-06,0.04068111235753666,0,0,0,0
91,1722.0,0.0,1163.0,0.0002952868818374046,0.0,0.00022870838952716163,0.0001746650904548554,0.0001548841317801097,0.886748706921896,0,1,0,1
92,102.0,0.0,17.0,1.749086059664069e-05,0.0,3.343114894206146e-06,6.944658496948945e-06,9.284981870990522e-06,1.3369769265655114,0,1,0,1
93,272.0,0.0,94.0,4.6642294924375176e-05,0.0,1.8485458826786925e-05,2.1709251250387366e-05,2.3487667980153887e-05,1.0819147799147057,0,1,0,1
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
95,813.0,0.0,708.0,0.00013941244769675375,0.0,0.00013923090265282066,9.288111678319147e-05,8.043745788387637e-05,0.8660250228163783,0,1,0,1
96,80.0,0.0,56.0,1.3718322036580934e-05,0.0,1.1012613769149658e-05,8.243645268576863e-06,7.2662562432595775e-06,0.8814265854328087,0,1,0,1
97,252.0,0.0,189.0,4.321271441522994e-05,0.0,3.716757147088009e-05,2.6793428628703344e-05,2.3399824819119283e-05,0.873338676043272,0,1,0,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
99,904.0,0.0,683.0,0.00015501703901336456,0.0,0.00013431455722016456,9.644386541117637e-05,8.416182370698886e-05,0.8726499719103815,0,1,0,1
100,123.0,1.0,21.0,2.1091920131243186e-05,3.853450205909112e-07,4.129730163431121e-06,8.535665105088406e-06,1.103402738060127e-05,1.2926817039545266,0,0,0,0
101,227.0,33.0,60.0,3.89257387787984e-05,1.2716385679500069e-05,1.1799229038374633e-05,2.1147117832224368e-05,1.540356504668841e-05,0.7283967644772772,0,0,0,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3
