row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
1,31.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,5.223353106252269e-06,1.1404775016373999e-06,1.8053154987418755e-07,0.0,1.6012256421555315e-07,0.0,0.0,0.0,8.380605902474262e-07,1.8135826050350623e-06,2.163765066190585,0,0,0,1,0,1,1,1,4
2,57.0,10.0,6.0,0.0,1.0,0.0,3.0,1.0,9.604229905044495e-06,1.629253573767714e-06,1.0831892992451253e-06,0.0,1.6012256421555315e-07,0.0,4.536610903653575e-07,1.2637848916791012e-07,1.6321043652257695e-06,3.2734058324119437e-06,2.005512239859229,0,0,0,1,0,1,0,0,2
3,103.0,25.0,15.0,7.0,9.0,3.0,4.0,2.0,1.7355011933676895e-05,4.073133934419285e-06,2.7079732481128135e-06,1.3113584624584298e-06,1.4411030779399784e-06,5.733329103410528e-07,6.048814538204766e-07,2.5275697833582023e-07,3.5399439998880935e-06,5.724948753197875e-06,1.6171970612169932,0,0,0,0,0,0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,8
5,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.369905229840174e-07,3.258507147535428e-07,0.0,0.0,0.0,1.9111097011368428e-07,0.0,0.0,1.0674402598140556e-07,1.5358125216801967e-07,1.4374341546690497,0,0,1,1,1,0,1,1,5
6,47.0,17.0,8.0,3.0,0.0,0.0,0.0,8.0,7.919277290124408e-06,2.769731075405114e-06,1.4442523989935004e-06,5.620107696250414e-07,0.0,0.0,0.0,1.011027913343281e-06,1.7132874309364181e-06,2.6813491006964477e-06,1.5649403353163442,0,0,0,0,1,1,1,0,3
7,0.0,1.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,1.629253573767714e-07,1.8053154987418755e-07,0.0,0.0,5.733329103410528e-07,6.048814538204766e-07,3.791354675037304e-07,2.3760084236452735e-07,2.523713058777394e-07,1.0617181805805893,1,0,0,1,1,0,0,0,3
8,588.0,101.0,38.0,51.0,22.0,21.0,16.0,16.0,9.907521375730111e-05,1.645546109505391e-05,6.860198895219127e-06,9.554183083625704e-06,3.5226964127421693e-06,4.01333037238737e-06,2.4195258152819066e-06,2.022055826686562e-06,1.799033315728723e-05,3.311078213023875e-05,1.8404660877677004,0,0,0,0,0,0,0,0,0
9,869.0,1720.0,2493.0,2805.0,3007.0,3788.0,4589.0,1130.0,0.00014642238223655556,0.0002802316146880468,0.0004500651538363496,0.0005254800695994137,0.00048148855059616834,0.000723928354790636,0.0006939502478955418,0.00014280769275973844,0.0004305467583003063,0.0002247403582428718,0.5219881504421883,0,0,0,0,0,0,0,0,0
10,197.0,64.0,31.0,29.0,16.0,13.0,6.0,9.0,3.3193566513925715e-05,1.042722287211337e-05,5.596478046099814e-06,5.432770773042067e-06,2.5619610274488503e-06,2.4844426114778955e-06,9.07322180730715e-07,1.1374064025111912e-06,7.717646303418702e-06,1.0755277176973347e-05,1.393577445297615,0,0,0,0,0,0,0,0,0
