row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
721,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0329147068561563e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7911433835701954e-07,1.072297277989199e-06,2.82768125971983,0,1,1,1,1,1,1,1,7
1549,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8534478764120957e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3168098455151196e-07,6.552927809933995e-07,2.8272068231195404,0,1,1,1,1,1,1,1,7
1918,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3479620919360695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684952614920087e-07,4.765765679951996e-07,2.8267494814365763,0,1,1,1,1,1,1,1,7
2031,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739810459680348e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424763074600435e-08,2.382882839975998e-07,2.8250738270901325,0,1,1,1,1,1,1,1,7
3526,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739810459680348e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424763074600435e-08,2.382882839975998e-07,2.8250738270901325,0,1,1,1,1,1,1,1,7
2931,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.620107696250414e-07,0.0,0.0,0.0,0.0,7.025134620313017e-08,1.9870081315086867e-07,2.824406694040317,1,1,1,0,1,1,1,1,7
2017,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.620107696250414e-07,0.0,0.0,0.0,0.0,7.025134620313017e-08,1.9870081315086867e-07,2.824406694040317,1,1,1,0,1,1,1,1,7
1164,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.054857844760261e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.318572305950327e-08,1.7871621299819987e-07,2.823957827426024,0,1,1,1,1,1,1,1,7
3435,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746738464166943e-07,0.0,0.0,0.0,0.0,4.6834230802086787e-08,1.3246720876724578e-07,2.8224007617347815,1,1,1,0,1,1,1,1,7
427,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746738464166943e-07,0.0,0.0,0.0,0.0,4.6834230802086787e-08,1.3246720876724578e-07,2.8224007617347815,1,1,1,0,1,1,1,1,7
808,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369905229840174e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212381537300217e-08,1.191441419987999e-07,2.8217284711551773,0,1,1,1,1,1,1,1,7
934,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369905229840174e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212381537300217e-08,1.191441419987999e-07,2.8217284711551773,0,1,1,1,1,1,1,1,7
2423,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369905229840174e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212381537300217e-08,1.191441419987999e-07,2.8217284711551773,0,1,1,1,1,1,1,1,7
3150,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369905229840174e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212381537300217e-08,1.191441419987999e-07,2.8217284711551773,0,1,1,1,1,1,1,1,7
3570,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258507147535428e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.073133934419285e-08,1.1520562502835675e-07,2.82150002617393,1,0,1,1,1,1,1,1,7
2213,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.202451284311063e-07,0.0,0.0,0.0,4.003064105388829e-08,1.1322375097779603e-07,2.821379076047072,1,1,1,1,0,1,1,1,7
2287,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9111097011368428e-07,0.0,0.0,2.3888871264210535e-08,6.756793146326289e-08,2.816636544465883,1,1,1,1,1,0,1,1,7
3653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9111097011368428e-07,0.0,0.0,2.3888871264210535e-08,6.756793146326289e-08,2.816636544465883,1,1,1,1,1,0,1,1,7
352,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8733692320834715e-07,0.0,0.0,0.0,0.0,2.3417115401043393e-08,6.623360438362289e-08,2.8164000241579066,1,1,1,0,1,1,1,1,7
3527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8733692320834715e-07,0.0,0.0,0.0,0.0,2.3417115401043393e-08,6.623360438362289e-08,2.8164000241579066,1,1,1,0,1,1,1,1,7
3514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8733692320834715e-07,0.0,0.0,0.0,0.0,2.3417115401043393e-08,6.623360438362289e-08,2.8164000241579066,1,1,1,0,1,1,1,1,7
392,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8733692320834715e-07,0.0,0.0,0.0,0.0,2.3417115401043393e-08,6.623360438362289e-08,2.8164000241579066,1,1,1,0,1,1,1,1,7
