Strain	Polynomial	Condition	Data
YAL001C	non_significant	Nlim	Excluded
YAL004W	non_significant	Nlim	Excluded
YAL015C	non_significant	Nlim	Excluded
YAL017W	non_significant	Nlim	Excluded
YAL018C	non_significant	Nlim	Excluded
YAL020C	non_significant	Nlim	Excluded
YAL022C	non_significant	Nlim	Excluded
YAL026C	non_significant	Nlim	Excluded
YAL029C	non_significant	Nlim	Excluded
YAL031C	non_significant	Nlim	Excluded
YAL034C	non_significant	Nlim	Excluded
YAL036C	non_significant	Nlim	Excluded
YAL037W	non_significant	Nlim	Excluded
YAL040C	non_significant	Nlim	Excluded
YAL042W	non_significant	Nlim	Excluded
YAL043C.A	non_significant	Nlim	Excluded
YAL045C	non_significant	Nlim	Excluded
YAL046C	non_significant	Nlim	Excluded
YAL048C	non_significant	Nlim	Excluded
YAL049C	non_significant	Nlim	Excluded
YAL051W	non_significant	Nlim	Excluded
YAL053W	non_significant	Nlim	Excluded
YAL055W	non_significant	Nlim	Excluded
YAL056W	non_significant	Nlim	Excluded
YAL060W	non_significant	Nlim	Excluded
YAL062W	non_significant	Nlim	Excluded
YAL065C	non_significant	Nlim	Excluded
YAR020C	non_significant	Nlim	Excluded
YAR027W	non_significant	Nlim	Excluded
YAR029W	non_significant	Nlim	Excluded
YAR031W	non_significant	Nlim	Excluded
YAR037W	non_significant	Nlim	Excluded
YAR040C	non_significant	Nlim	Excluded
YAR044W	non_significant	Nlim	Excluded
YAR050W	non_significant	Nlim	Excluded
YBL009W	non_significant	Nlim	Excluded
YBL010C	non_significant	Nlim	Excluded
YBL029W	non_significant	Nlim	Excluded
YBL032W	non_significant	Nlim	Excluded
YBL036C	non_significant	Nlim	Excluded
YBL039C	non_significant	Nlim	Excluded
YBL046W	non_significant	Nlim	Excluded
YBL053W	non_significant	Nlim	Excluded
YBL055C	non_significant	Nlim	Excluded
YBL056W	non_significant	Nlim	Excluded
YBL057C	non_significant	Nlim	Excluded
YBL062W	non_significant	Nlim	Excluded
YBL065W	non_significant	Nlim	Excluded
YBL066C	non_significant	Nlim	Excluded
YBL067C	non_significant	Nlim	Excluded
YBL072C	non_significant	Nlim	Excluded
YBL081W	non_significant	Nlim	Excluded
YBL087C	non_significant	Nlim	Excluded
YBL091C.A	non_significant	Nlim	Excluded
YBL096C	non_significant	Nlim	Excluded
YBL098W	non_significant	Nlim	Excluded
YBL102W	non_significant	Nlim	Excluded
YBL107C	non_significant	Nlim	Excluded
YBR001C	non_significant	Nlim	Excluded
YBR012C	non_significant	Nlim	Excluded
YBR016W	non_significant	Nlim	Excluded
YBR018C	non_significant	Nlim	Excluded
YBR022W	non_significant	Nlim	Excluded
YBR027C	non_significant	Nlim	Excluded
YBR030W	non_significant	Nlim	Excluded
YBR040W	non_significant	Nlim	Excluded
YBR043C	non_significant	Nlim	Excluded
YBR047W	non_significant	Nlim	Excluded
YBR056W	non_significant	Nlim	Excluded
YBR061C	non_significant	Nlim	Excluded
YBR062C	non_significant	Nlim	Excluded
YBR065C	non_significant	Nlim	Excluded
YBR074W	non_significant	Nlim	Excluded
YBR075W	non_significant	Nlim	Excluded
YBR084W	non_significant	Nlim	Excluded
YBR085W	non_significant	Nlim	Excluded
YBR086C	non_significant	Nlim	Excluded
YBR092C	non_significant	Nlim	Excluded
YBR100W	non_significant	Nlim	Excluded
YBR116C	non_significant	Nlim	Excluded
YBR141C	non_significant	Nlim	Excluded
YBR147W	non_significant	Nlim	Excluded
YBR148W	non_significant	Nlim	Excluded
YBR151W	non_significant	Nlim	Excluded
YBR156C	non_significant	Nlim	Excluded
YBR166C	non_significant	Nlim	Excluded
YBR168W	non_significant	Nlim	Excluded
YBR171W	non_significant	Nlim	Excluded
YBR172C	non_significant	Nlim	Excluded
YBR176W	non_significant	Nlim	Excluded
YBR182C	non_significant	Nlim	Excluded
YBR184W	non_significant	Nlim	Excluded
YBR188C	non_significant	Nlim	Excluded
YBR189W	non_significant	Nlim	Excluded
YBR197C	non_significant	Nlim	Excluded
YBR214W	non_significant	Nlim	Excluded
YBR216C	non_significant	Nlim	Excluded
YBR218C	non_significant	Nlim	Excluded
YBR220C	non_significant	Nlim	Excluded
YBR223C	non_significant	Nlim	Excluded
YBR224W	non_significant	Nlim	Excluded
YBR226C	non_significant	Nlim	Excluded
YBR238C	non_significant	Nlim	Excluded
YBR242W	non_significant	Nlim	Excluded
YBR250W	non_significant	Nlim	Excluded
YBR255W	non_significant	Nlim	Excluded
YBR258C	non_significant	Nlim	Excluded
YBR262C	non_significant	Nlim	Excluded
YBR273C	non_significant	Nlim	Excluded
YBR276C	non_significant	Nlim	Excluded
YBR278W	non_significant	Nlim	Excluded
YBR293W	non_significant	Nlim	Excluded
YCL006C	non_significant	Nlim	Excluded
YCL028W	non_significant	Nlim	Excluded
YCL033C	non_significant	Nlim	Excluded
YCL042W	non_significant	Nlim	Excluded
