Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
-0.031081895826741007,-9.35060050258436,0.0,31,11,0,0,0,0,0,0
-0.010340916993937348,-27.982522827649483,0.010802768254053376,57,34,3,3,0,0,0,0
-0.009584206793459869,-23.699711559261225,0.01338308861159204,103,62,8,8,4,2,2,1
-0.0036445277252603082,-3.2749792230925547,0.013186271911178783,1,0,0,0,0,0,0,0
5.8348830218338255e-05,-7.489910429703029,0.013972784716939394,2,1,1,0,0,0,0,0
0.0037209982315973156,-48.99887295553347,0.016637745382183475,47,39,10,6,2,0,0,0
0.019946326504053126,-15.685457596264769,0.017201645183502545,1,1,1,1,0,0,4,4
-0.022236866440265242,-71.65110334856729,0.021685152948485036,588,264,18,15,25,3,10,2
0.010745841204008403,-491.50471109493833,,869,864,1513,2283,3081,2086,4265,3473
-0.0011065172695938867,-41.41426283208361,,197,147,31,21,23,6,11,2
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.028825285498761316,-19.02215010257553,,81,31,3,0,1,0,0,0
-0.016893697333795893,-37.503905284666395,,315,161,26,6,6,1,0,1
-0.01917570445497236,-17.468741529923307,,46,22,0,0,0,0,0,0
-0.0054811648744163485,-71.21900629529334,,670,451,117,49,24,8,6,4
0.0025704999049170982,-36.95634310675562,,45,36,4,6,2,0,3,2
-0.004348401311903408,-37.36677612239521,,1026,710,315,181,119,31,8,6
-0.0032597294947210413,-30.504779627167288,,644,457,265,145,91,20,14,3
0.0048106724209353285,-44.5597383779377,,638,550,391,375,359,172,175,68
0.008655406336443525,-52.56069986143777,,562,531,486,497,692,349,402,201
0.0004312564096192271,-32.574587946310686,,536,416,292,200,140,34,14,5
-0.018152962239758652,-40.844743878972864,,380,188,20,11,8,3,7,1
-0.011242948064829762,-19.017793466212673,,247,144,52,19,12,3,1,1
-0.00947399322686696,-52.414320672105504,,237,145,10,6,8,2,6,2
-0.046051255179028056,-14.34460344344553,,55,13,0,0,0,0,0,0
-0.016386401026584133,-40.0330339473923,,350,181,22,8,8,0,3,1
-0.013590765237452972,-24.713943366042663,,336,186,61,19,14,1,0,0
-0.009891474934530183,-28.887614616792746,,91,55,13,3,0,1,0,0
-0.03304173641949377,-17.43304101687396,,174,60,6,0,1,0,0,0
-0.009147645322868502,-49.22171344825986,,574,354,79,40,38,6,16,4
-0.019107024447206855,-30.66164078513563,,114,55,5,1,5,0,0,0
0.017922391057281155,-71.77998027398256,,52,61,13,4,36,12,21,11
0.009011107285134837,-127.71459490327955,,672,641,903,1174,1243,661,720,323
-0.012945450235447808,-96.19196959749569,,488,274,14,17,19,3,7,3
0.00825813985940076,-128.56719349176163,,2144,2008,2270,2328,2495,1610,1560,893
0.006279333328601838,-57.494965488874065,,528,471,411,462,425,185,203,87
-0.017099046394347776,-25.886538668872774,,110,56,4,4,2,0,1,1
0.009623420862209655,-213.23109622928328,,1546,1496,2417,2730,2773,1547,1765,761
0.009257139097831529,-260.3105072949578,,1473,1413,2532,2759,3143,1758,1964,952
-0.0014557456107285316,-29.082530330707158,,430,319,210,137,118,40,17,3
-0.9840012118760523,-105.715457055077,,969,0,0,0,0,0,0,0
-0.01154306386780897,-39.36755635476805,,283,164,31,5,5,1,3,0
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.002229795399499768,-31.1773605100515,,413,334,235,181,137,42,46,15
0.01183103639644963,-735.393782093564,,3928,4009,7021,9567,10510,8561,11404,8486
-0.051076049142654414,-9.07524663182056,,34,7,0,0,0,0,0,0
0.014192181222086835,-106.41151731049509,,1338,1445,2132,2088,2224,1289,1493,901
-0.005808264388968667,-37.431925612105815,,522,348,112,72,56,6,11,4
0.002335965576228515,-41.807572712770735,,845,686,537,369,422,151,112,38
0.00920783353122142,-76.75204878095244,,690,661,876,952,985,512,579,264
0.008005113025222575,-86.19219590633111,,877,816,1079,945,1261,620,657,311
-0.011027604084503442,-32.86827225389025,,203,119,21,7,6,0,2,0
0.009724721425286756,-104.3221776384934,,887,860,1172,1301,1358,651,870,397
6.201203725937979e-05,-34.36355629809178,,412,317,217,133,79,15,16,12
-0.0010571074352153272,-31.18411613709533,,605,453,273,200,170,44,26,8
0.009850979110658308,-251.2760933944553,,1747,1700,2731,3221,3471,1828,2146,986
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.014028897870975839,-55.948163429261314,,475,260,46,8,10,0,4,1
-0.013669881457214216,-49.54435218701024,,487,269,39,16,20,3,3,2
-0.001699878655870797,-35.408708216871986,,683,503,226,180,152,72,30,7
0.007274708829377455,-80.29581855869017,,1294,1184,1050,1008,1029,816,526,463
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.018924412167242825,-18.688818759448345,,108,52,9,1,1,0,0,0
0.021468502599784414,-15.720004642412533,,1,1,1,2,0,1,5,1
0.008630728082234465,-85.23968856358324,,495,467,528,599,723,374,573,276
0.009197194078649436,-235.32211907729513,,1552,1487,2453,2738,3023,1558,1759,896
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.006343745794898506,-61.69997010012466,,217,194,98,75,96,45,164,33
-0.9840012118760523,-66.67682433339925,,886,0,0,0,0,0,0,0
-0.020235076264967698,-37.846205561395315,,164,77,6,1,3,0,0,1
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.0018269012127759172,-88.0061702951448,,757,556,262,216,185,84,39,115
0.015579622025206592,-12.83608851954557,,1,1,2,0,0,0,0,0
-0.0014749091175038156,-282.7409330623314,,1209,896,365,134,131,31,15,65
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.011837012823706753,-34.28818135579676,,451,260,59,34,42,9,13,5
-0.9840012118760523,-111.64948743736011,,296,0,0,0,0,0,0,0
-0.009770055070019278,-71.07987455150652,,356,216,32,17,13,4,4,8
-0.011114729358408015,-41.51597571931247,,557,327,68,41,50,9,5,2
-0.007504923397411097,-38.87218133345465,,498,319,81,61,62,27,10,5
0.01263382099654026,-250.82545394153522,,710,738,1254,1581,2119,1433,3031,2860
-0.007310854618651726,-53.0600838230843,,295,190,31,7,17,3,5,3
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
-0.011794525262184052,-38.03793746168132,,212,122,14,6,5,0,3,1
0.0019618793679147973,-38.066100387301184,,38,30,10,2,0,0,0,0
0.01030697031554559,-244.545172463629,,1275,1254,2108,2579,2870,1696,2306,1156
0.0008547883408260952,-51.23246725695238,,1970,1545,1193,707,654,218,182,49
0.009569952062044845,-289.38176421166696,,1640,1585,2587,3012,3407,1755,2401,1365
-0.009196081821434533,-50.63320337471915,,386,237,44,9,16,2,5,3
-0.009985834489084158,-40.552765984800445,,508,307,70,31,27,4,8,1
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.0002255843263907105,-32.21092502755492,,461,356,210,138,83,33,16,5
-0.01701397255412882,-19.69861746740063,,146,74,10,5,5,0,1,0
-0.005492811334547598,-32.69906165909883,,161,108,22,6,8,1,3,1
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.008826016018223413,-102.767789010359,,784,744,1019,1145,1306,670,717,364
-0.016228545577072644,-32.54997725151693,,227,118,17,2,4,0,2,1
-0.013227099236495479,-64.48513756875786,,527,294,36,8,8,1,5,2
