Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
0.00868212757689182,-68.55543501116651,0.0,18,23,57,166,86,133,73,76,35,29
-0.0009645427572004721,-49.656865569510494,0.0006654854450904581,257,266,279,247,237,216,277,146,98,63
-0.004422995219858607,-54.8443218113289,0.0011412352074458279,739,704,530,649,556,469,529,250,141,110
0.005679258819878857,-94.64152015635895,0.0014295472472399568,789,958,1070,1493,1463,1421,1953,1147,908,875
-0.021006271085499736,-23.240370486132388,0.001835669526635153,77,49,12,9,5,4,5,3,0,0
0.003946080400423179,-45.57550264569536,0.002043783625760164,100,116,62,76,68,78,91,74,56,54
0.0011658208250569062,-105.9411825709771,0.002492637990966738,1509,1644,1369,1539,1402,1285,1575,949,635,527
0.004424992858019928,-102.30295539352502,0.0029403318192359803,1228,1447,1261,1903,1727,1809,2224,1393,1260,981
0.0016789920419377194,-70.79787360921017,0.003122987309892635,618,681,629,809,707,708,869,454,362,238
-0.0010896274463039635,-65.64981201631566,0.004882135445782078,840,867,606,753,631,595,730,407,277,231
0.001009402895623169,-72.06353582943399,,856,929,803,1021,986,919,1016,569,470,330
0.0059604814067716234,-67.83993261860499,,326,398,409,619,602,562,771,460,377,343
0.004542428132502834,-81.06713548367598,,414,489,854,1146,1043,1076,1242,727,553,516
-0.012944543037075339,-38.27339560152609,,388,301,230,186,133,80,81,26,16,9
0.0009533682790407146,-50.65371209991133,,1237,1341,1467,1824,1371,1493,1866,1144,1096,875
0.000407192641827616,-65.03777721364426,,765,818,650,744,701,681,781,446,379,264
0.00516937233670066,-163.000941509163,,1693,2031,1694,2407,2215,2200,3060,1823,1593,1277
0.015640278851336377,-490.0269012578658,,883,1362,3516,6326,6910,9153,15855,12411,12091,16534
0.002557109495856977,-75.39979820639289,,943,1062,1149,1578,1328,1303,1617,954,675,567
0.003386898411999494,-71.23327081080619,,544,625,835,1294,997,1028,1133,723,539,461
0.00499837445205938,-88.36924232658743,,964,1152,1151,1621,1538,1476,1846,1097,916,924
0.003611520098952254,-71.18813977424973,,669,773,795,1155,1006,1007,1150,791,574,495
-0.0019186125526410277,-52.21549949535626,,364,368,265,279,248,238,273,156,118,67
0.010803890569953525,-154.8103541934598,,966,1327,1393,2017,2032,2109,2981,2280,2003,2320
0.01053163113474602,-41.61538697894249,,12,16,23,54,33,42,30,41,16,36
0.0032490283692288456,-79.30363276885535,,715,819,1000,1298,1247,1221,1335,775,600,493
-0.006021024008876064,-43.302015644743776,,358,328,269,275,224,165,164,85,70,29
0.00479670194061209,-57.47600648849984,,348,413,498,638,558,629,806,485,414,348
0.0028728890996230364,-95.9463348374505,,23,26,98,257,94,184,437,223,101,195
0.00881851170602757,-187.1700293926562,,1826,2391,2666,4074,3904,4362,6414,4258,3527,3965
-0.0013890137118641177,-55.69241290407322,,672,688,686,829,688,633,657,409,276,157
0.0075137465831459,-82.59490212385785,,3281,4165,4394,7128,6781,9210,14030,10071,12027,13789
0.0020064964079783785,-55.984135988922766,,306,340,373,502,402,364,503,233,213,159
0.006655532262440245,-144.2164926159533,,1449,1801,1475,1956,1839,1789,2452,1603,1430,1430
-0.004324361802314624,-56.600653920766156,,1861,1778,1338,1548,1085,1082,1274,685,655,369
0.002623044797141009,-81.88540450292483,,186,209,533,760,642,599,756,391,286,221
0.010465150896294306,-97.37294241217953,,330,449,633,1091,1222,1230,2096,1452,1166,1497
0.0001598450250193898,-80.80136262716816,,1210,1287,1031,1339,1207,1060,1354,690,569,414
-0.0027362070512359157,-71.47846260697827,,1086,1077,799,862,743,726,821,405,295,173
0.0019726233937473695,-66.30657346047343,,569,632,847,1054,838,806,989,539,395,323
0.0012311825343213905,-53.36893817775727,,2207,2409,2536,3234,2568,2925,3506,2036,2133,1867
0.003367317004928703,-102.20005631841519,,627,720,744,1130,1048,955,1416,547,588,504
0.004742186781563777,-152.3922775383865,,256,304,1034,1440,1099,1024,1360,781,551,510
0.0016553524745623969,-64.64505850028033,,546,602,522,736,665,579,725,400,315,237
0.007773771589266993,-121.67423301849446,,862,1101,1125,1646,1758,1713,2467,1571,1301,1333
-0.008389580798669048,-55.423898491495784,,1782,1544,1025,1170,691,621,696,319,232,155
-0.004586951907342316,-39.25723415026066,,13,12,5,12,7,13,5,7,9,0
0.0005795808603392483,-67.53253791512866,,842,904,733,909,819,749,972,548,400,314
0.014961238166447156,-291.03049976930185,,1023,1552,1927,3749,3903,5133,8881,6387,6466,8329
0.0016109182185947448,-68.34347562347912,,1027,1131,1131,1455,1238,1194,1467,844,668,496
0.005198075661105472,-94.81887845786822,,975,1170,1140,1633,1688,1654,2230,1348,1110,1032
0.001084498850412445,-63.11368510749523,,614,667,739,1004,736,762,866,505,344,248
0.00506089904424736,-78.8948701060473,,626,749,819,1229,1239,1122,1618,984,851,734
0.000274486709043733,-65.92052356291146,,733,782,626,812,753,680,854,474,349,249
0.0158278881289363,-323.2992744946583,,1084,1679,2247,4017,4831,6271,10671,8344,8328,11419
0.0036276966138829607,-94.01632783805154,,888,1026,960,1204,1146,1203,1516,845,645,515
-0.002057926755867222,-74.67063483566953,,1049,1058,791,895,854,683,808,447,304,214
-0.0010180630861488255,-143.93981569948195,,15,15,45,313,54,93,41,52,24,18
