19.3333,2.33333,0.5,0.5,0.5,1,0,0,0.5,0
62,4.66667,11,3.5,0.5,0.5,4,0,3,0.5
130.333,16,21.5,11.5,9,8,3,3.5,2,1
0,0,0,0,0,0,0,0,0,0
2,0.666667,0,1,0,0,0,0.5,0.5,0
39.6667,10.6667,9,6,3.5,6,3,6.5,6,4
0,0.666667,1.5,0.5,0,0.5,0,1.5,2.5,1.5
747,59,729.5,29,38,18.5,18,19.5,21,8
907,1109,1275.5,2005.5,2282,2457.5,1566,2727,3224,565
181,35,53.5,24,21,12,2,9,5,4.5
0,0,0,0,0,0,0,0,0,0
59,13.3333,4.5,1.5,2,1,3,0.5,2,0
172.667,54.3333,17.5,8.5,9,5.5,0,2.5,6,2
30.3333,2,0.5,1.5,2,0.5,2,0.5,1,0
531.667,223.667,207,58,32.5,24.5,9,7,15,17
58.3333,5,13,5,2.5,2,0,6.5,3,0.5
795,406,293,195.5,100,60,14,12,18.5,6.5
429.667,280.333,167,148.5,81.5,42,11,13.5,10,4
480.333,342.333,296,359.5,308,264,91,122.5,86,7
436.333,365.333,445,543,552.5,535,283,298,239,52
529.667,299.667,307,194,113.5,49.5,15,13,10,5
199.667,51,28.5,24.5,15,15,14,11,7,2.5
196,94,75.5,32,14,10,2,2.5,3.5,0.5
280,18,43.5,10,11,6.5,4,8,11.5,3
27,6.33333,2.5,0.5,1,0,0,0.5,0,0
183.333,46,7.5,12.5,9,4,5,4,6.5,2
211,117.333,50,31,20.5,6.5,2,2,2.5,1.5
65,18.6667,6,4.5,1,4,4,0.5,1.5,2
90.3333,26.3333,6,1,2.5,0.5,0,0.5,0,0
462.333,123,93.5,52,42,23,8,22,17.5,9
83.6667,15.3333,4,2.5,8,4,2,0.5,4,0.5
38.3333,12,14,6,20,10.5,9,11,15.5,15
517.333,534.333,445.5,881,846.5,716.5,198,404.5,293,24.5
924.667,48.6667,1131,37,37.5,23,13,13,15.5,9.5
2005,1994,2008.5,2103.5,2024,1947,791,1021,979.5,166
380,308,299.5,401,330.5,283,92,132.5,102,4.5
92.6667,15.6667,19,5.5,4,4,7,3,5.5,0.5
1465.67,1817,1902.5,2603.5,2469.5,2227,1169,1221,817.5,109.5
1461.67,1862.33,1987,2668,2664,2528.5,1296,1349,987.5,115.5
328.667,202.333,137,126,87.5,60,7,11,7.5,0.5
592,150.333,65,35.5,46,18,21,17,28.5,16.5
175.667,50.3333,20,11.5,7.5,5,2,6.5,8.5,3.5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
307.333,229.333,157.5,170.5,115.5,88,37,35.5,21.5,6.5
3994.33,5186,5384,8404,8608,9585.5,5755,7356.5,8387,2202
19.6667,1.66667,1,0.5,0,0.5,0,0,0.5,0
1254,1293.67,1672,1999.5,2078,2017,1941,1611.5,1655,684
357.667,139.333,108.5,73,50.5,19.5,6,12,11.5,6
657.333,462,342,346,315.5,241.5,74,85.5,56.5,7
627.667,675.333,656.5,941.5,842,724.5,368,390,273.5,47.5
796.333,851.333,830,966.5,1019.5,944.5,509,468.5,339,60
120,34.3333,10,9,7.5,5,1,2.5,2.5,3
803.667,876,963,1242.5,1198,1054.5,652,629,458.5,77
299.333,177,142.5,120,66.5,33,13,15.5,20.5,5
652.333,312.667,525.5,225,149.5,82,15,21.5,12,2
1761.33,2008,2251,2994.5,2940.5,2634.5,1423,1478.5,1030,145.5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
244.667,78.6667,22,12.5,14.5,4.5,7,6,8,4.5
282,78,45.5,25,27.5,13.5,21,9,14,5.5
537.333,316.667,195.5,173.5,122.5,103.5,9,20.5,14,5
1282.67,1141,1230,1097.5,1076,1036,448,405.5,571,163.5
