,Initial_Fitness
0,-1.59656770606441e-06
1,-1.7587283563192005e-06
2,-1.9798355521037656e-06
3,-1.426690610563954e-06
4,-1.4269226952669163e-06
5,-1.6410096999147032e-06
6,-1.426690610563954e-06
7,-4.8687321644712754e-06
8,4.1485384424423355e-06
9,-2.3749973680421084e-06
10,-1.426690610563954e-06
11,-1.8186032406608243e-06
12,-2.863974600491155e-06
13,-1.7290229988513508e-06
14,-4.147859508828222e-06
15,-1.694850381979308e-06
16,-3.6127639776055223e-06
17,-1.942478821994769e-06
18,-1.8935695687402823e-06
19,-1.224272913668799e-06
20,-1.4829748623106098e-06
21,-3.476413472359524e-06
22,-1.986103323595069e-06
23,-2.8866006322629946e-06
24,-1.7311117611780114e-06
25,-3.252231525388539e-06
26,-2.2647069066437255e-06
27,-1.7937716619551824e-06
28,-2.254261610499101e-06
29,-3.8608432264250134e-06
30,-2.03669333530688e-06
31,-1.7168392942014922e-06
32,1.424711703928915e-06
33,-4.4925421596166086e-06
34,3.248488973555798e-06
35,-1.202805820900449e-06
36,-2.0561293157964797e-06
37,7.399046528312585e-06
38,9.208048810156296e-06
39,-1.5330430545685864e-06
40,-6.35550636166603e-06
41,-2.7072095484524067e-06
42,-1.426690610563954e-06
43,-1.426690610563954e-06
44,-1.5901905725225727e-06
45,2.2397772605729247e-05
46,-1.6379925987761935e-06
47,3.116508241754033e-06
48,-3.16996417848936e-06
49,-1.147402649496984e-06
50,1.0064596868128087e-06
51,1.913394748093124e-06
52,-2.3763898762598815e-06
53,1.84319283672534e-06
54,-1.515289317047633e-06
55,-1.9537918378806887e-06
56,8.30273240375143e-06
57,-1.426690610563954e-06
58,-1.426690610563954e-06
59,-3.573130689912918e-06
60,-3.854228070134928e-06
61,-3.0444152612546984e-06
62,-9.393557851715021e-07
63,-1.426690610563954e-06
64,-1.426690610563954e-06
65,-1.885962485545151e-06
66,-1.426690610563954e-06
67,-3.87362360078572e-07
68,8.062888450608796e-06
69,-1.426690610563954e-06
70,-2.0130813146752814e-06
71,-7.076146932606122e-06
72,-2.360550466410537e-06
73,-1.426690610563954e-06
74,-3.0344371035386424e-06
75,-1.4199025041301379e-06
76,-4.843154104165445e-06
77,-1.426690610563954e-06
78,-3.2349434417848324e-06
79,-2.9478103747744817e-06
80,-3.253624033606313e-06
81,-3.8365334671732055e-06
82,-3.4087659772356467e-06
83,2.427320343854955e-06
84,-2.927213970770071e-06
85,-1.426690610563954e-06
86,-2.588909938034843e-06
87,-1.564251766816065e-06
88,6.226506111860821e-06
89,-4.581630395952831e-07
90,8.171439018990622e-06
91,-3.247010361827549e-06
92,-3.526484633640144e-06
93,-1.426690610563954e-06
94,-1.9746764921246504e-06
95,-2.1527297487427315e-06
96,-2.18336344502243e-06
97,-1.426690610563954e-06
98,1.690606793851235e-06
99,-2.538086357108748e-06
100,-4.236857312113307e-06
101,-1.426690610563954e-06
102,-2.8430884617358716e-06
103,-2.7881450062043658e-06
