,Initial_Fitness
0,-8.01991737098927e-07
1,-1.6545707010337872e-06
2,-2.4677616177549722e-06
3,2.319359181667788e-08
4,-9.479733503367377e-07
5,-2.6520945184851356e-07
6,2.319359181667788e-08
7,-2.6288881814983126e-06
8,8.128194466585242e-07
9,-3.0298890192559247e-06
10,2.319359181667788e-08
11,-4.658794349855429e-07
12,1.355408233766668e-06
13,-2.782157712263821e-08
14,9.815042565424056e-07
15,-1.2130374424895642e-06
16,-1.6454301267325998e-06
17,1.2686641005633987e-06
18,-6.662103636741547e-07
19,-6.964577625186153e-07
20,-9.086277312216314e-07
21,-3.825406158084613e-06
22,-1.4565708735215875e-06
23,-2.8079427213854268e-06
24,-4.014092575529546e-08
25,1.4528611514215887e-06
26,-1.4665026489371106e-06
27,-9.362845004085674e-08
28,1.6626489512053324e-07
29,3.177783655915038e-06
30,-4.877298813294804e-06
31,5.124836214615412e-06
32,1.4340625222641974e-07
33,-4.283935085624497e-06
34,2.1256649644059005e-06
35,2.1600855432726125e-07
36,-2.0746951784550579e-07
37,-2.4953248170324513e-06
38,-3.477638498225228e-06
39,-6.27613443506788e-07
40,-1.8512991669494548e-06
41,-3.6189014370694925e-06
42,2.319359181667788e-08
43,2.319359181667788e-08
44,-1.338279595720908e-06
45,1.4093382281214755e-07
46,-4.6568163470695897e-07
47,-1.1840897893980523e-06
48,2.7757706147018577e-07
49,-3.830266086647993e-06
50,-1.311196779129709e-06
51,-3.1230188630744685e-06
52,4.864270016718993e-07
53,-3.243090269314377e-06
54,2.1941329088964863e-07
55,-3.661397594495707e-06
56,-2.7116765313339833e-06
57,2.319359181667788e-08
58,2.319359181667788e-08
59,-2.9635170555903432e-06
60,-2.9186050889266343e-06
61,-3.788951474731479e-07
62,2.4254267394672456e-06
63,2.319359181667788e-08
64,2.319359181667788e-08
65,-1.2402615132505964e-06
66,2.319359181667788e-08
67,4.0365276984640834e-07
68,5.84911274750282e-07
69,2.319359181667788e-08
70,3.6533843208673733e-07
71,-1.496167138290785e-07
72,7.175280659217927e-07
73,2.319359181667788e-08
74,1.82663791841817e-06
75,-2.573309710345465e-06
76,3.70219012049207e-06
77,2.319359181667788e-08
78,5.948288580875968e-07
79,2.7096531455596717e-07
80,2.770948080279331e-06
81,-7.872424612185938e-07
82,3.322513133592243e-07
83,3.490669327451375e-10
84,4.127368721068733e-07
85,2.319359181667788e-08
86,8.546657312082646e-07
87,6.246862088088054e-08
88,1.3377344558741709e-06
89,2.1743536217183652e-07
90,-3.431059421271761e-06
91,-1.4531095908504492e-06
92,1.2291912712206119e-06
93,2.319359181667788e-08
94,-1.7656710231627037e-06
95,-2.0357504160589236e-06
96,-1.4962697391633194e-06
97,2.319359181667788e-08
98,5.796416276195536e-07
99,-1.7647244498683529e-06
100,-2.675297694193556e-06
101,2.319359181667788e-08
102,9.127306016495101e-07
103,7.458965102557601e-07
104,-8.86418961203993e-07
105,-1.5817000086034587e-06
106,4.7795832641328124e-06
107,2.274853587995543e-06
108,3.818390525493491e-06
109,2.319359181667788e-08
110,-2.4394725512522557e-07
