,Initial_Fitness
0,-6.196466314523687e-07
1,-8.006571251136523e-07
2,-8.152193021407493e-07
3,-1.4842948146888929e-07
4,-4.662135715972501e-07
5,-1.2953083206913244e-06
6,-1.4842948146888929e-07
7,3.4289842508072524e-06
8,9.391181849698869e-07
9,-5.550036952413161e-07
10,-1.4842948146888929e-07
11,2.39389791625432e-07
12,-1.408887638431222e-07
13,-4.206272559111574e-07
14,-3.2852209525169034e-07
15,5.396895593555866e-08
16,3.9480678551851135e-06
17,4.2783497529389845e-06
18,5.175649049657585e-07
19,-7.203366302408752e-07
20,2.4824047535574425e-06
21,1.1435462657456843e-06
22,-1.0903446491667656e-07
23,2.3288382167940144e-06
24,-1.983255792346203e-07
25,1.0015138994320088e-06
26,2.0091084588082235e-07
27,-3.3388323411811975e-07
28,-2.9305831574650706e-07
29,7.2104073655837065e-06
30,-2.645565692973645e-06
31,5.970326251617736e-06
32,-3.397417455166679e-07
33,2.6314274713839708e-06
34,-1.7675878587286343e-06
35,-1.546269895849295e-06
36,1.070731762468437e-06
37,1.7090975305870038e-06
38,1.0338015460427382e-06
39,-8.846876605141174e-07
40,3.1828352574736766e-06
41,2.4175403180299323e-07
42,-1.4842948146888929e-07
43,-1.4842948146888929e-07
44,2.5082012302583162e-06
45,-4.0924121177851267e-07
46,-3.401750932009515e-07
47,1.4660405686786102e-06
48,4.724902266335895e-06
49,4.3245190489002443e-07
50,3.762478816556695e-06
51,5.373693933597752e-07
52,2.1335636078107283e-06
53,2.677004438918552e-07
54,5.113785736554927e-06
55,4.794516639158378e-07
56,-3.3956281410819784e-08
57,-1.4842948146888929e-07
58,-1.4842948146888929e-07
59,1.4418751136950383e-06
60,4.127597262517081e-06
61,-2.5958524475552584e-06
62,-3.354930281233931e-06
63,-1.4842948146888929e-07
64,-1.4842948146888929e-07
65,-6.724719849173738e-07
66,-1.4842948146888929e-07
67,-3.7580707564468e-07
68,-7.88806625408247e-07
69,-1.4842948146888929e-07
70,-1.4749876634112795e-06
71,4.8182599036800565e-06
72,-1.4137073305837842e-06
73,-1.4842948146888929e-07
74,-3.232601843365321e-06
75,-1.612759623084353e-06
76,-1.5804207919637076e-06
77,-1.4842948146888929e-07
78,5.965599580333495e-06
79,-5.868086187287256e-07
80,1.5860212248493367e-06
81,2.937095917061189e-06
82,-3.587001629734607e-06
83,6.335832162009779e-07
84,-1.5820353552013322e-06
85,-1.4842948146888929e-07
86,-3.0328533281524456e-08
87,-1.3784575113144237e-06
88,-5.320688312501207e-07
89,-5.656042206815464e-06
90,-1.085570285559013e-06
91,1.2403269131794784e-06
92,1.866156226703424e-07
93,-1.4842948146888929e-07
94,1.039043857409658e-06
95,-1.830795591862998e-07
96,6.848175752361982e-08
97,-1.4842948146888929e-07
98,-4.994154799447026e-07
99,-9.083045584556549e-07
100,-1.7396282617481022e-06
101,-1.4842948146888929e-07
102,5.390004150770782e-07
103,-1.147816064633147e-06
104,8.799351385033359e-07
105,-1.1914532202754042e-06
106,-1.6640344381595684e-06
107,-2.5034656836703745e-06
108,-5.09685044404657e-06
109,-1.4842948146888929e-07
110,3.6937234740667923e-07
111,-1.4842948146888929e-07
112,-6.262785903793966e-06
113,5.95171913445962e-07
114,-2.1709878746328425e-07
115,-1.704230316161634e-06
116,-6.06298574342434e-06
117,8.836634465815823e-07
118,-3.034094615720381e-07
119,-1.3345041523718682e-07
120,-1.4842948146888929e-07
121,-2.1922897818804995e-06
122,-1.4842948146888929e-07
123,7.371436705551698e-09
124,-1.4842948146888929e-07
125,-2.8395421939303134e-07
126,5.881821349340848e-06
127,-4.847362844889748e-07
128,-3.2649426095122007e-07
129,-1.1533088713370057e-06
130,-4.082649379447395e-06
131,3.7949488358758855e-07
132,1.116104117918707e-06
133,-1.4842948146888929e-07
134,-1.2371236374307693e-06
135,2.7536718077833076e-06
136,2.879960781516546e-06
137,-1.9494503983496865e-06
138,-2.137467702003502e-06
139,-1.4842948146888929e-07
140,1.7671158199798942e-06
141,3.155736928649073e-06
142,1.3437468568402366e-06
143,-1.3268773982505948e-06
144,2.222638952821971e-06
145,-9.655540448060487e-09
146,-4.5715704161193065e-07
