row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
1,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4381400493651844e-06,0.0,2.0721355988958834e-07,0.0,1.9210003955339814e-07,1.962237908788118e-07,0.0,0.0,1.0196403116836505e-07,0.0,2.1356414708553476e-07,4.39809387593947e-07,2.05841454260401,0,1,0,1,0,0,1,1,0,1,5
2,24.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,4.930765883537776e-06,8.133025389881988e-07,0.0,2.226197716633526e-07,1.9210003955339814e-07,0.0,8.454738088066666e-07,0.0,3.0589209350509513e-07,0.0,7.310154136054485e-07,1.5101484765514543e-06,2.0655404720634385,0,0,1,0,0,1,0,1,0,1,4
3,52.0,23.0,12.0,8.0,11.0,7.0,3.0,4.0,0.0,0.0,1.0683326080998513e-05,4.676489599182143e-06,2.48656271867506e-06,1.7809581733068207e-06,2.1131004350873796e-06,1.3735665361516827e-06,6.341053566049999e-07,7.386631821462154e-07,0.0,0.0,2.4486772082152813e-06,3.209312975471728e-06,1.3105777711034565,0,0,0,0,0,0,0,0,1,1,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,10
5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0544857848074062e-07,0.0,0.0,4.452395433267052e-07,0.0,0.0,0.0,0.0,1.0196403116836505e-07,0.0,7.526521529758109e-08,1.4689206417401292e-07,1.9490697876202785,0,1,1,0,1,1,1,1,0,1,7
6,23.0,15.0,8.0,4.0,4.0,12.0,3.0,13.0,12.0,0.0,4.725317305057035e-06,3.0498845212057454e-06,1.6577084791167067e-06,8.904790866534104e-07,7.684001582135926e-07,2.3546854905457414e-06,6.341053566049999e-07,2.4006553419752003e-06,1.2235683740203805e-06,0.0,1.770480411339281e-06,1.399313266688132e-06,0.7903133106672521,0,0,0,0,0,0,0,0,0,1,1
7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.033256347470497e-07,2.0721355988958834e-07,0.0,0.0,1.962237908788118e-07,0.0,0.0,1.0196403116836505e-07,0.0,7.087270166838149e-08,9.600336480712401e-08,1.3526801509642088,1,0,0,1,1,0,1,1,0,1,6
8,239.0,76.0,37.0,20.0,25.0,15.0,18.0,18.0,26.0,0.0,4.910221025689701e-05,1.5452748240775776e-05,7.666901715914768e-06,4.452395433267052e-06,4.802500988834953e-06,2.943356863182177e-06,3.8046321396299996e-06,3.3239843196579695e-06,2.651064810377491e-06,0.0,9.419979476853719e-06,1.4550063617094231e-05,1.5445797089977327,0,0,0,0,0,0,0,0,0,1,1
9,743.0,1607.0,1490.0,1518.0,1759.0,1908.0,1566.0,1666.0,1859.0,0.0,0.0001526482938111903,0.0003267442950385089,0.0003087482042354866,0.00033793681338496924,0.00033790396957442733,0.0003743949929967729,0.00033100299614780996,0.0003076532153638987,0.00018955113394199062,0.0,0.0002666583914495055,0.00011691256100902657,0.43843554493056586,0,0,0,0,0,0,0,0,0,1,1
10,94.0,41.0,18.0,17.0,13.0,8.0,2.0,5.0,4.0,0.0,1.931216637718962e-05,8.336351024629038e-06,3.7298440780125897e-06,3.784536118276994e-06,2.4973005141941757e-06,1.5697903270304944e-06,4.227369044033333e-07,9.233289776827693e-07,4.078561246734602e-07,0.0,4.098391044609247e-06,5.8936804060358925e-06,1.438012268878289,0,0,0,0,0,0,0,0,0,1,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,10
12,34.0,14.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,6.9852516683451815e-06,2.8465588864586956e-06,4.144271197791767e-07,2.226197716633526e-07,1.9210003955339814e-07,3.924475817576236e-07,6.341053566049999e-07,1.8466579553655386e-07,2.039280623367301e-07,0.0,1.2076104282035713e-06,2.190976787366981e-06,1.8141573809427027,0,0,0,0,0,0,0,0,0,1,1
