row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
1785,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259934363288147e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259934363288147e-07,7.146539950472958e-07,3.1608790005206178,0,1,1,1,1,1,1,1,1,1,9
998,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0166281737352485e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0166281737352485e-07,3.214860562500754e-07,3.159170162025358,1,0,1,1,1,1,1,1,1,1,9
1164,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1089715696148125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108971569614813e-08,1.2993709000859923e-07,3.154600312542345,0,1,1,1,1,1,1,1,1,1,9
361,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1089715696148125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108971569614813e-08,1.2993709000859923e-07,3.154600312542345,0,1,1,1,1,1,1,1,1,1,9
1439,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1089715696148125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108971569614813e-08,1.2993709000859923e-07,3.154600312542345,0,1,1,1,1,1,1,1,1,1,9
504,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066512694940994e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066512694940994e-08,1.2859442250003017e-07,3.1545203492096943,1,0,1,1,1,1,1,1,1,1,9
2196,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924475817576236e-07,0.0,0.0,0.0,0.0,3.924475817576236e-08,1.2410282205792366e-07,3.154240305748657,1,1,1,1,1,0,1,1,1,1,9
1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708677452242433e-07,3.708677452242433e-08,1.1727867855996428e-07,3.1537738904793424,1,1,1,1,1,1,1,1,1,0,9
94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226197716633526e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.2261977166335258e-08,7.039855306428055e-08,3.148136345039371,1,1,1,0,1,1,1,1,1,1,9
2253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1136845220166665e-07,0.0,0.0,0.0,2.1136845220166666e-08,6.684057344616984e-08,3.147387135575934,1,1,1,1,1,1,0,1,1,1,9
