row_number,reads_t0,reads_t1,reads_t2,freq_t0,freq_t1,freq_t2,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_count
3569,48.0,0.0,0.0,8.23099322194856e-06,0.0,0.0,2.7436644073161866e-06,4.752166152389987e-06,1.7319876807638592,0,1,1,2
3391,36.0,0.0,0.0,6.173244916461421e-06,0.0,0.0,2.05774830548714e-06,3.5641246142924902e-06,1.7319666395180573,0,1,1,2
3014,26.0,0.0,0.0,4.458454661888804e-06,0.0,0.0,1.4861515539629346e-06,2.574089999211243e-06,1.7319342693689375,0,1,1,2
2678,22.0,0.0,0.0,3.772538560059757e-06,0.0,0.0,1.2575128533532523e-06,2.1780761531787436e-06,1.7319130822901516,0,1,1,2
1,20.0,0.0,0.0,3.4295805091452336e-06,0.0,0.0,1.1431935030484113e-06,1.9800692301624943e-06,1.7318993109669152,0,1,1,2
721,18.0,0.0,0.0,3.0866224582307103e-06,0.0,0.0,1.02887415274357e-06,1.7820623071462451e-06,1.731882479647039,0,1,1,2
3104,17.0,0.0,0.0,2.9151434327734485e-06,0.0,0.0,9.717144775911494e-07,1.6830588456381202e-06,1.7318725790234597,0,1,1,2
2341,16.0,0.0,0.0,2.743664407316187e-06,0.0,0.0,9.14554802438729e-07,1.5840553841299956e-06,1.7318614409572386,0,1,1,2
413,15.0,0.0,0.0,2.5721853818589252e-06,0.0,0.0,8.573951272863084e-07,1.4850519226218707e-06,1.7318488179887088,0,1,1,2
456,13.0,0.0,0.0,2.229227330944402e-06,0.0,0.0,7.430757769814673e-07,1.2870449996056216e-06,1.731817746850106,0,1,1,2
1200,12.0,0.0,0.0,2.05774830548714e-06,0.0,0.0,6.859161018290467e-07,1.1880415380974967e-06,1.7317983279546307,0,1,1,2
1164,11.0,0.0,0.0,1.8862692800298784e-06,0.0,0.0,6.287564266766261e-07,1.0890380765893718e-06,1.7317753789123358,0,1,1,2
76,10.0,0.0,0.0,1.7147902545726168e-06,0.0,0.0,5.715967515242056e-07,9.900346150812471e-07,1.731747840864422,0,1,1,2
3702,9.0,0.0,0.0,1.5433112291153552e-06,0.0,0.0,5.14437076371785e-07,8.910311535731226e-07,1.7317141844396402,0,1,1,2
496,9.0,0.0,0.0,1.5433112291153552e-06,0.0,0.0,5.14437076371785e-07,8.910311535731226e-07,1.7317141844396402,0,1,1,2
2056,9.0,0.0,0.0,1.5433112291153552e-06,0.0,0.0,5.14437076371785e-07,8.910311535731226e-07,1.7317141844396402,0,1,1,2
1674,9.0,0.0,0.0,1.5433112291153552e-06,0.0,0.0,5.14437076371785e-07,8.910311535731226e-07,1.7317141844396402,0,1,1,2
1457,8.0,0.0,0.0,1.3718322036580935e-06,0.0,0.0,4.572774012193645e-07,7.920276920649978e-07,1.7316721157483037,0,1,1,2
1993,8.0,0.0,0.0,1.3718322036580935e-06,0.0,0.0,4.572774012193645e-07,7.920276920649978e-07,1.7316721157483037,0,1,1,2
1744,8.0,0.0,0.0,1.3718322036580935e-06,0.0,0.0,4.572774012193645e-07,7.920276920649978e-07,1.7316721157483037,0,1,1,2
581,7.0,0.0,0.0,1.2003531782008317e-06,0.0,0.0,4.001177260669439e-07,6.93024230556873e-07,1.7316180304341435,0,1,1,2
460,6.0,0.0,0.0,1.02887415274357e-06,0.0,0.0,3.4295805091452333e-07,5.940207690487483e-07,1.731545921937145,0,1,1,2
260,6.0,0.0,0.0,1.02887415274357e-06,0.0,0.0,3.4295805091452333e-07,5.940207690487483e-07,1.731545921937145,0,1,1,2
1439,6.0,0.0,0.0,1.02887415274357e-06,0.0,0.0,3.4295805091452333e-07,5.940207690487483e-07,1.731545921937145,0,1,1,2
3074,6.0,0.0,0.0,1.02887415274357e-06,0.0,0.0,3.4295805091452333e-07,5.940207690487483e-07,1.731545921937145,0,1,1,2
2578,5.0,0.0,0.0,8.573951272863084e-07,0.0,0.0,2.857983757621028e-07,4.950173075406236e-07,1.7314449801300356,0,1,1,2
3481,0.0,0.0,4.0,0.0,0.0,7.866152692249755e-07,2.622050897416585e-07,4.5415253743570953e-07,1.731390488392732,1,1,0,2
3191,0.0,2.0,0.0,0.0,7.706900411818224e-07,0.0,2.568966803939408e-07,4.449581027380889e-07,1.7313768491329498,1,0,1,2
1277,4.0,0.0,0.0,6.859161018290468e-07,0.0,0.0,2.2863870060968226e-07,3.960138460324989e-07,1.7312935894842452,0,1,1,2
2261,4.0,0.0,0.0,6.859161018290468e-07,0.0,0.0,2.2863870060968226e-07,3.960138460324989e-07,1.7312935894842452,0,1,1,2
3526,4.0,0.0,0.0,6.859161018290468e-07,0.0,0.0,2.2863870060968226e-07,3.960138460324989e-07,1.7312935894842452,0,1,1,2
3290,4.0,0.0,0.0,6.859161018290468e-07,0.0,0.0,2.2863870060968226e-07,3.960138460324989e-07,1.7312935894842452,0,1,1,2
3386,4.0,0.0,0.0,6.859161018290468e-07,0.0,0.0,2.2863870060968226e-07,3.960138460324989e-07,1.7312935894842452,0,1,1,2
1071,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
5,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
1048,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
2633,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
2497,3.0,0.0,0.0,5.14437076371785e-07,0.0,0.0,1.7147902545726167e-07,2.9701038452437417e-07,1.7310413305637755,0,1,1,2
7,0.0,0.0,2.0,0.0,0.0,3.9330763461248774e-07,1.3110254487082925e-07,2.2707626871785477e-07,1.7307306724988798,1,1,0,2
970,0.0,0.0,2.0,0.0,0.0,3.9330763461248774e-07,1.3110254487082925e-07,2.2707626871785477e-07,1.7307306724988798,1,1,0,2
3001,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
3194,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
3480,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
361,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
3571,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
2160,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
3095,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
1281,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
523,0.0,1.0,0.0,0.0,3.853450205909112e-07,0.0,1.284483401969704e-07,2.2247905136904446e-07,1.7307034149810656,1,0,1,2
3019,2.0,0.0,0.0,3.429580509145234e-07,0.0,0.0,1.1431935030484113e-07,1.9800692301624945e-07,1.730537033191594,0,1,1,2
